x,y,value
0.00000,0.00000,0.69046
0.10000,0.00000,0.69040
0.20000,0.00000,0.69029
0.30000,0.00000,0.69013
0.40000,0.00000,0.68993
0.50000,0.00000,0.68969
0.60000,0.00000,0.68943
0.70000,0.00000,0.68917
0.80000,0.00000,0.68890
0.90000,0.00000,0.68866
1.00000,0.00000,0.68846
1.10000,0.00000,0.68830
1.20000,0.00000,0.68822
1.30000,0.00000,0.68822
1.40000,0.00000,0.68832
1.50000,0.00000,0.68853
1.60000,0.00000,0.68886
1.70000,0.00000,0.68932
1.80000,0.00000,0.68992
1.90000,0.00000,0.69066
2.00000,0.00000,0.69153
2.10000,0.00000,0.69254
2.20000,0.00000,0.69368
2.30000,0.00000,0.69493
2.39000,0.00000,0.69630
2.49000,0.00000,0.69777
2.59000,0.00000,0.69932
2.69000,0.00000,0.70095
2.79000,0.00000,0.70265
2.89000,0.00000,0.70439
2.99000,0.00000,0.70617
3.09000,0.00000,0.70798
3.19000,0.00000,0.70981
3.29000,0.00000,0.71164
3.39000,0.00000,0.71347
3.49000,0.00000,0.71530
3.59000,0.00000,0.71710
3.69000,0.00000,0.71889
3.79000,0.00000,0.72064
3.89000,0.00000,0.72235
3.99000,0.00000,0.72401
4.09000,0.00000,0.72559
4.19000,0.00000,0.72709
4.29000,0.00000,0.72849
4.39000,0.00000,0.72974
4.49000,0.00000,0.73082
4.59000,0.00000,0.73167
4.69000,0.00000,0.73223
4.79000,0.00000,0.73241
4.89000,0.00000,0.73211
4.99000,0.00000,0.73117
5.09000,0.00000,0.73099
5.19000,0.00000,0.73128
5.29000,0.00000,0.73185
5.39000,0.00000,0.73257
5.49000,0.00000,0.73333
5.59000,0.00000,0.73408
5.69000,0.00000,0.73477
5.79000,0.00000,0.73535
5.89000,0.00000,0.73582
5.99000,0.00000,0.73617
6.09000,0.00000,0.73640
6.19000,0.00000,0.73653
6.29000,0.00000,0.73657
6.39000,0.00000,0.73654
6.49000,0.00000,0.73647
6.59000,0.00000,0.73639
6.69000,0.00000,0.73633
6.79000,0.00000,0.73632
6.89000,0.00000,0.73638
6.99000,0.00000,0.73654
7.09000,0.00000,0.73683
7.19000,0.00000,0.73725
7.29000,0.00000,0.73783
7.39000,0.00000,0.73856
7.49000,0.00000,0.73946
7.59000,0.00000,0.74053
7.69000,0.00000,0.74174
7.79000,0.00000,0.74310
7.89000,0.00000,0.74460
7.99000,0.00000,0.74620
8.09000,0.00000,0.74789
8.19000,0.00000,0.74964
8.29000,0.00000,0.75144
8.39000,0.00000,0.75326
8.49000,0.00000,0.75507
8.59000,0.00000,0.75686
8.69000,0.00000,0.75860
8.79000,0.00000,0.76027
8.89000,0.00000,0.76185
8.99000,0.00000,0.76333
9.09000,0.00000,0.76470
9.19000,0.00000,0.76594
9.29000,0.00000,0.76704
9.39000,0.00000,0.76799
9.50000,0.00000,0.76880
9.60000,0.00000,0.76945
9.70000,0.00000,0.76994
9.80000,0.00000,0.77027
9.90000,0.00000,0.77043
0.00000,0.10000,0.69059
0.10000,0.10000,0.69053
0.20000,0.10000,0.69042
0.30000,0.10000,0.69027
0.40000,0.10000,0.69007
0.50000,0.10000,0.68984
0.60000,0.10000,0.68958
0.70000,0.10000,0.68932
0.80000,0.10000,0.68906
0.90000,0.10000,0.68882
1.00000,0.10000,0.68862
1.10000,0.10000,0.68847
1.20000,0.10000,0.68839
1.30000,0.10000,0.68839
1.40000,0.10000,0.68850
1.50000,0.10000,0.68871
1.60000,0.10000,0.68904
1.70000,0.10000,0.68950
1.80000,0.10000,0.69010
1.90000,0.10000,0.69084
2.00000,0.10000,0.69171
2.10000,0.10000,0.69271
2.20000,0.10000,0.69384
2.30000,0.10000,0.69509
2.39000,0.10000,0.69646
2.49000,0.10000,0.69792
2.59000,0.10000,0.69947
2.69000,0.10000,0.70109
2.79000,0.10000,0.70278
2.89000,0.10000,0.70451
2.99000,0.10000,0.70629
3.09000,0.10000,0.70809
3.19000,0.10000,0.70990
3.29000,0.10000,0.71173
3.39000,0.10000,0.71355
3.49000,0.10000,0.71537
3.59000,0.10000,0.71717
3.69000,0.10000,0.71894
3.79000,0.10000,0.72069
3.89000,0.10000,0.72239
3.99000,0.10000,0.72404
4.09000,0.10000,0.72561
4.19000,0.10000,0.72711
4.29000,0.10000,0.72849
4.39000,0.10000,0.72973
4.49000,0.10000,0.73080
4.59000,0.10000,0.73164
4.69000,0.10000,0.73219
4.79000,0.10000,0.73236
4.89000,0.10000,0.73205
4.99000,0.10000,0.73109
5.09000,0.10000,0.73090
5.19000,0.10000,0.73118
5.29000,0.10000,0.73176
5.39000,0.10000,0.73248
5.49000,0.10000,0.73325
5.59000,0.10000,0.73401
5.69000,0.10000,0.73471
5.79000,0.10000,0.73531
5.89000,0.10000,0.73579
5.99000,0.10000,0.73615
6.09000,0.10000,0.73640
6.19000,0.10000,0.73654
6.29000,0.10000,0.73659
6.39000,0.10000,0.73657
6.49000,0.10000,0.73651
6.59000,0.10000,0.73644
6.69000,0.10000,0.73639
6.79000,0.10000,0.73638
6.89000,0.10000,0.73644
6.99000,0.10000,0.73660
7.09000,0.10000,0.73689
7.19000,0.10000,0.73730
7.29000,0.10000,0.73787
7.39000,0.10000,0.73860
7.49000,0.10000,0.73949
7.59000,0.10000,0.74054
7.69000,0.10000,0.74174
7.79000,0.10000,0.74309
7.89000,0.10000,0.74456
7.99000,0.10000,0.74615
8.09000,0.10000,0.74782
8.19000,0.10000,0.74956
8.29000,0.10000,0.75135
