x,y,value
0.00000,0.00000,0.02257
0.10000,0.00000,0.02277
0.20000,0.00000,0.02317
0.30000,0.00000,0.02376
0.40000,0.00000,0.02452
0.50000,0.00000,0.02544
0.60000,0.00000,0.02650
0.70000,0.00000,0.02766
0.80000,0.00000,0.02889
0.90000,0.00000,0.03018
1.00000,0.00000,0.03147
1.10000,0.00000,0.03275
1.20000,0.00000,0.03396
1.30000,0.00000,0.03509
1.40000,0.00000,0.03610
1.50000,0.00000,0.03696
1.60000,0.00000,0.03766
1.70000,0.00000,0.03817
1.80000,0.00000,0.03849
1.90000,0.00000,0.03861
2.00000,0.00000,0.03854
2.10000,0.00000,0.03827
2.20000,0.00000,0.03783
2.30000,0.00000,0.03724
2.39000,0.00000,0.03650
2.49000,0.00000,0.03565
2.59000,0.00000,0.03470
2.69000,0.00000,0.03369
2.79000,0.00000,0.03263
2.89000,0.00000,0.03154
2.99000,0.00000,0.03043
3.09000,0.00000,0.02933
3.19000,0.00000,0.02824
3.29000,0.00000,0.02717
3.39000,0.00000,0.02612
3.49000,0.00000,0.02509
3.59000,0.00000,0.02408
3.69000,0.00000,0.02309
3.79000,0.00000,0.02211
3.89000,0.00000,0.02113
3.99000,0.00000,0.02016
4.09000,0.00000,0.01919
4.19000,0.00000,0.01822
4.29000,0.00000,0.01725
4.39000,0.00000,0.01628
4.49000,0.00000,0.01532
4.59000,0.00000,0.01437
4.69000,0.00000,0.01342
4.79000,0.00000,0.01249
4.89000,0.00000,0.01155
4.99000,0.00000,0.01057
5.09000,0.00000,0.00997
5.19000,0.00000,0.00941
5.29000,0.00000,0.00894
5.39000,0.00000,0.00856
5.49000,0.00000,0.00829
5.59000,0.00000,0.00811
5.69000,0.00000,0.00804
5.79000,0.00000,0.00806
5.89000,0.00000,0.00817
5.99000,0.00000,0.00837
6.09000,0.00000,0.00863
6.19000,0.00000,0.00895
6.29000,0.00000,0.00932
6.39000,0.00000,0.00971
6.49000,0.00000,0.01010
6.59000,0.00000,0.01049
6.69000,0.00000,0.01086
