x,y,value
0.00000,0.00000,0.02253
0.10000,0.00000,0.02273
0.20000,0.00000,0.02314
0.30000,0.00000,0.02372
0.40000,0.00000,0.02449
0.50000,0.00000,0.02541
0.60000,0.00000,0.02646
0.70000,0.00000,0.02762
0.80000,0.00000,0.02886
0.90000,0.00000,0.03014
1.00000,0.00000,0.03143
1.10000,0.00000,0.03271
1.20000,0.00000,0.03392
1.30000,0.00000,0.03505
1.40000,0.00000,0.03606
1.50000,0.00000,0.03692
1.60000,0.00000,0.03762
1.70000,0.00000,0.03813
1.80000,0.00000,0.03845
1.90000,0.00000,0.03857
2.00000,0.00000,0.03850
2.10000,0.00000,0.03823
2.20000,0.00000,0.03779
2.30000,0.00000,0.03720
2.39000,0.00000,0.03646
2.49000,0.00000,0.03561
2.59000,0.00000,0.03467
2.69000,0.00000,0.03365
2.79000,0.00000,0.03259
2.89000,0.00000,0.03150
2.99000,0.00000,0.03040
3.09000,0.00000,0.02930
3.19000,0.00000,0.02821
3.29000,0.00000,0.02714
3.39000,0.00000,0.02609
3.49000,0.00000,0.02506
3.59000,0.00000,0.02405
3.69000,0.00000,0.02306
3.79000,0.00000,0.02208
3.89000,0.00000,0.02111
3.99000,0.00000,0.02014
4.09000,0.00000,0.01917
4.19000,0.00000,0.01820
4.29000,0.00000,0.01723
4.39000,0.00000,0.01626
4.49000,0.00000,0.01530
4.59000,0.00000,0.01435
4.69000,0.00000,0.01342
4.79000,0.00000,0.01250
4.89000,0.00000,0.01157
4.99000,0.00000,0.01057
5.09000,0.00000,0.00996
5.19000,0.00000,0.00940
5.29000,0.00000,0.00893
5.39000,0.00000,0.00855
5.49000,0.00000,0.00827
5.59000,0.00000,0.00810
5.69000,0.00000,0.00802
5.79000,0.00000,0.00805
5.89000,0.00000,0.00816
5.99000,0.00000,0.00836
6.09000,0.00000,0.00862
6.19000,0.00000,0.00894
6.29000,0.00000,0.00931
6.39000,0.00000,0.00970
6.49000,0.00000,0.01009
6.59000,0.00000,0.01049
6.69000,0.00000,0.01086
6.79000,0.00000,0.01119
6.89000,0.00000,0.01147
6.99000,0.00000,0.01169
7.09000,0.00000,0.01184
7.19000,0.00000,0.01191
7.29000,0.00000,0.01189
7.39000,0.00000,0.01179
7.49000,0.00000,0.01161
7.59000,0.00000,0.01134
7.69000,0.00000,0.01100
7.79000,0.00000,0.01058
7.89000,0.00000,0.01010
7.99000,0.00000,0.00958
8.09000,0.00000,0.00900
8.19000,0.00000,0.00840
8.29000,0.00000,0.00778
8.39000,0.00000,0.00715
8.49000,0.00000,0.00653
8.59000,0.00000,0.00591
8.69000,0.00000,0.00532
8.79000,0.00000,0.00475
8.89000,0.00000,0.00422
8.99000,0.00000,0.00373
9.09000,0.00000,0.00328
9.19000,0.00000,0.00287
9.29000,0.00000,0.00252
9.39000,0.00000,0.00221
9.50000,0.00000,0.00196
9.60000,0.00000,0.00176
9.70000,0.00000,0.00161
9.80000,0.00000,0.00150
9.90000,0.00000,0.00145
0.00000,0.10000,0.02256
0.10000,0.10000,0.02276
0.20000,0.10000,0.02316
0.30000,0.10000,0.02374
0.40000,0.10000,0.02450
0.50000,0.10000,0.02541
0.60000,0.10000,0.02645
0.70000,0.10000,0.02760
0.80000,0.10000,0.02883
0.90000,0.10000,0.03010
1.00000,0.10000,0.03138
1.10000,0.10000,0.03264
1.20000,0.10000,0.03385
1.30000,0.10000,0.03496
1.40000,0.10000,0.03596
