x,y,value
0.00000,0.00000,0.31376
0.10000,0.00000,0.31391
0.20000,0.00000,0.31419
0.30000,0.00000,0.31461
0.40000,0.00000,0.31518
0.50000,0.00000,0.31587
0.60000,0.00000,0.31669
0.70000,0.00000,0.31763
0.80000,0.00000,0.31868
0.90000,0.00000,0.31983
1.00000,0.00000,0.32108
1.10000,0.00000,0.32241
1.20000,0.00000,0.32381
1.30000,0.00000,0.32526
1.40000,0.00000,0.32677
1.50000,0.00000,0.32831
1.60000,0.00000,0.32988
1.70000,0.00000,0.33145
1.80000,0.00000,0.33302
1.90000,0.00000,0.33457
2.00000,0.00000,0.33608
2.10000,0.00000,0.33755
2.20000,0.00000,0.33896
2.30000,0.00000,0.34028
2.39000,0.00000,0.34152
2.49000,0.00000,0.34264
2.59000,0.00000,0.34365
2.69000,0.00000,0.34451
2.79000,0.00000,0.34521
2.89000,0.00000,0.34574
2.99000,0.00000,0.34607
3.09000,0.00000,0.34618
3.19000,0.00000,0.34605
3.29000,0.00000,0.34564
3.39000,0.00000,0.34492
3.49000,0.00000,0.34386
3.59000,0.00000,0.34240
3.69000,0.00000,0.34050
3.79000,0.00000,0.33808
3.89000,0.00000,0.33507
3.99000,0.00000,0.33138
4.09000,0.00000,0.32689
4.19000,0.00000,0.32147
4.29000,0.00000,0.31497
4.39000,0.00000,0.30723
4.49000,0.00000,0.29807
4.59000,0.00000,0.28730
4.69000,0.00000,0.27474
4.79000,0.00000,0.26020
4.89000,0.00000,0.24356
4.99000,0.00000,0.22472
5.09000,0.00000,0.21581
5.19000,0.00000,0.20948
5.29000,0.00000,0.20447
5.39000,0.00000,0.20027
5.49000,0.00000,0.19663
5.59000,0.00000,0.19339
5.69000,0.00000,0.19045
5.79000,0.00000,0.18775
5.89000,0.00000,0.18523
5.99000,0.00000,0.18287
6.09000,0.00000,0.18064
6.19000,0.00000,0.17853
6.29000,0.00000,0.17654
6.39000,0.00000,0.17464
6.49000,0.00000,0.17284
6.59000,0.00000,0.17113
6.69000,0.00000,0.16952
6.79000,0.00000,0.16799
6.89000,0.00000,0.16656
6.99000,0.00000,0.16521
7.09000,0.00000,0.16394
7.19000,0.00000,0.16277
7.29000,0.00000,0.16167
7.39000,0.00000,0.16067
7.49000,0.00000,0.15974
7.59000,0.00000,0.15890
7.69000,0.00000,0.15813
7.79000,0.00000,0.15745
7.89000,0.00000,0.15683
7.99000,0.00000,0.15628
8.09000,0.00000,0.15580
8.19000,0.00000,0.15538
8.29000,0.00000,0.15502
8.39000,0.00000,0.15471
8.49000,0.00000,0.15445
8.59000,0.00000,0.15424
8.69000,0.00000,0.15406
8.79000,0.00000,0.15392
8.89000,0.00000,0.15381
8.99000,0.00000,0.15372
9.09000,0.00000,0.15366
9.19000,0.00000,0.15362
9.29000,0.00000,0.15359
9.39000,0.00000,0.15357
9.50000,0.00000,0.15355
9.60000,0.00000,0.15355
9.70000,0.00000,0.15354
9.80000,0.00000,0.15354
9.90000,0.00000,0.15354
0.00000,0.10000,0.31365
0.10000,0.10000,0.31380
0.20000,0.10000,0.31408
0.30000,0.10000,0.31451
0.40000,0.10000,0.31507
0.50000,0.10000,0.31576
0.60000,0.10000,0.31658
0.70000,0.10000,0.31752
0.80000,0.10000,0.31857
0.90000,0.10000,0.31973
1.00000,0.10000,0.32097
1.10000,0.10000,0.32230
1.20000,0.10000,0.32370
1.30000,0.10000,0.32516
1.40000,0.10000,0.32667
1.50000,0.10000,0.32821
1.60000,0.10000,0.32978
1.70000,0.10000,0.33135
1.80000,0.10000,0.33292
1.90000,0.10000,0.33447
2.00000,0.10000,0.33599
2.10000,0.10000,0.33746
2.20000,0.10000,0.33886
2.30000,0.10000,0.34019
2.39000,0.10000,0.34143
2.49000,0.10000,0.34255
2.59000,0.10000,0.34356
2.69000,0.10000,0.34442
2.79000,0.10000,0.34513
2.89000,0.10000,0.34566
2.99000,0.10000,0.34599
3.09000,0.10000,0.34610
3.19000,0.10000,0.34597
3.29000,0.10000,0.34556
3.39000,0.10000,0.34484
3.49000,0.10000,0.34378
3.59000,0.10000,0.34233
3.69000,0.10000,0.34043
3.79000,0.10000,0.33801
3.89000,0.10000,0.33500
3.99000,0.10000,0.33131
4.09000,0.10000,0.32682
4.19000,0.10000,0.32140
4.29000,0.10000,0.31490
4.39000,0.10000,0.30717
4.49000,0.10000,0.29801
4.59000,0.10000,0.28724
4.69000,0.10000,0.27467
4.79000,0.10000,0.26013
4.89000,0.10000,0.24349
4.99000,0.10000,0.22465
5.09000,0.10000,0.21575
5.19000,0.10000,0.20942
5.29000,0.10000,0.20441
5.39000,0.10000,0.20022
5.49000,0.10000,0.19658
5.59000,0.10000,0.19335
5.69000,0.10000,0.19041
5.79000,0.10000,0.18770
5.89000,0.10000,0.18519
5.99000,0.10000,0.18283
6.09000,0.10000,0.18060
6.19000,0.10000,0.17850
6.29000,0.10000,0.17650
6.39000,0.10000,0.17461
