x,y,value
0.00000,0.00000,0.29557
0.10000,0.00000,0.29543
0.20000,0.00000,0.29515
0.30000,0.00000,0.29474
0.40000,0.00000,0.29420
0.50000,0.00000,0.29354
0.60000,0.00000,0.29274
0.70000,0.00000,0.29183
0.80000,0.00000,0.29081
0.90000,0.00000,0.28968
1.00000,0.00000,0.28845
1.10000,0.00000,0.28713
1.20000,0.00000,0.28573
1.30000,0.00000,0.28426
1.40000,0.00000,0.28272
1.50000,0.00000,0.28112
1.60000,0.00000,0.27948
1.70000,0.00000,0.27780
1.80000,0.00000,0.27610
1.90000,0.00000,0.27437
2.00000,0.00000,0.27264
2.10000,0.00000,0.27090
2.20000,0.00000,0.26917
2.30000,0.00000,0.26746
2.39000,0.00000,0.26576
2.49000,0.00000,0.26409
2.59000,0.00000,0.26244
2.69000,0.00000,0.26082
2.79000,0.00000,0.25923
2.89000,0.00000,0.25767
2.99000,0.00000,0.25614
3.09000,0.00000,0.25462
3.19000,0.00000,0.25311
3.29000,0.00000,0.25158
3.39000,0.00000,0.25003
3.49000,0.00000,0.24843
3.59000,0.00000,0.24673
3.69000,0.00000,0.24491
3.79000,0.00000,0.24292
3.89000,0.00000,0.24068
3.99000,0.00000,0.23813
4.09000,0.00000,0.23518
4.19000,0.00000,0.23171
4.29000,0.00000,0.22761
4.39000,0.00000,0.22274
4.49000,0.00000,0.21694
4.59000,0.00000,0.21004
4.69000,0.00000,0.20188
4.79000,0.00000,0.19231
4.89000,0.00000,0.18119
4.99000,0.00000,0.16841
5.09000,0.00000,0.16303
5.19000,0.00000,0.15968
5.29000,0.00000,0.15744
5.39000,0.00000,0.15589
5.49000,0.00000,0.15483
5.59000,0.00000,0.15412
5.69000,0.00000,0.15368
5.79000,0.00000,0.15344
5.89000,0.00000,0.15336
5.99000,0.00000,0.15341
6.09000,0.00000,0.15355
6.19000,0.00000,0.15377
6.29000,0.00000,0.15404
6.39000,0.00000,0.15435
6.49000,0.00000,0.15469
6.59000,0.00000,0.15506
6.69000,0.00000,0.15543
6.79000,0.00000,0.15580
6.89000,0.00000,0.15618
6.99000,0.00000,0.15654
7.09000,0.00000,0.15689
7.19000,0.00000,0.15723
7.29000,0.00000,0.15755
7.39000,0.00000,0.15785
7.49000,0.00000,0.15813
7.59000,0.00000,0.15838
7.69000,0.00000,0.15861
7.79000,0.00000,0.15882
7.89000,0.00000,0.15900
7.99000,0.00000,0.15916
8.09000,0.00000,0.15929
8.19000,0.00000,0.15941
8.29000,0.00000,0.15950
8.39000,0.00000,0.15958
8.49000,0.00000,0.15964
8.59000,0.00000,0.15968
8.69000,0.00000,0.15971
8.79000,0.00000,0.15973
8.89000,0.00000,0.15973
8.99000,0.00000,0.15974
9.09000,0.00000,0.15973
9.19000,0.00000,0.15972
9.29000,0.00000,0.15971
9.39000,0.00000,0.15970
9.50000,0.00000,0.15968
9.60000,0.00000,0.15967
9.70000,0.00000,0.15966
9.80000,0.00000,0.15965
9.90000,0.00000,0.15965
0.00000,0.10000,0.29571
0.10000,0.10000,0.29557
0.20000,0.10000,0.29529
0.30000,0.10000,0.29489
0.40000,0.10000,0.29434
0.50000,0.10000,0.29368
0.60000,0.10000,0.29288
0.70000,0.10000,0.29197
0.80000,0.10000,0.29095
0.90000,0.10000,0.28982
1.00000,0.10000,0.28859
1.10000,0.10000,0.28727
1.20000,0.10000,0.28587
1.30000,0.10000,0.28439
1.40000,0.10000,0.28285
1.50000,0.10000,0.28125
1.60000,0.10000,0.27961
1.70000,0.10000,0.27793
1.80000,0.10000,0.27623
1.90000,0.10000,0.27450
2.00000,0.10000,0.27277
2.10000,0.10000,0.27103
2.20000,0.10000,0.26930
2.30000,0.10000,0.26758
2.39000,0.10000,0.26588
2.49000,0.10000,0.26421
2.59000,0.10000,0.26256
2.69000,0.10000,0.26094
2.79000,0.10000,0.25935
2.89000,0.10000,0.25779
2.99000,0.10000,0.25626
3.09000,0.10000,0.25473
3.19000,0.10000,0.25322
3.29000,0.10000,0.25169
3.39000,0.10000,0.25014
3.49000,0.10000,0.24853
3.59000,0.10000,0.24684
3.69000,0.10000,0.24502
3.79000,0.10000,0.24302
3.89000,0.10000,0.24078
3.99000,0.10000,0.23822
4.09000,0.10000,0.23527
4.19000,0.10000,0.23180
4.29000,0.10000,0.22769
4.39000,0.10000,0.22281
4.49000,0.10000,0.21701
4.59000,0.10000,0.21010
4.69000,0.10000,0.20194
4.79000,0.10000,0.19236
4.89000,0.10000,0.18123
4.99000,0.10000,0.16844
5.09000,0.10000,0.16306
5.19000,0.10000,0.15971
5.29000,0.10000,0.15746
5.39000,0.10000,0.15591
5.49000,0.10000,0.15485
5.59000,0.10000,0.15414
5.69000,0.10000,0.15370
5.79000,0.10000,0.15346
5.89000,0.10000,0.15338
5.99000,0.10000,0.15343
6.09000,0.10000,0.15357
6.19000,0.10000,0.15378
6.29000,0.10000,0.15405
6.39000,0.10000,0.15437
6.49000,0.10000,0.15471
6.59000,0.10000,0.15507
6.69000,0.10000,0.15544
6.79000,0.10000,0.15581
6.89000,0.10000,0.15619
6.99000,0.10000,0.15655
7.09000,0.10000,0.15690
7.19000,0.10000,0.15724
7.29000,0.10000,0.15756
7.39000,0.10000,0.15786
7.49000,0.10000,0.15813
7.59000,0.10000,0.15839
7.69000,0.10000,0.15862
7.79000,0.10000,0.15882
7.89000,0.10000,0.15900
7.99000,0.10000,0.15916
8.09000,0.10000,0.15930
8.19000,0.10000,0.15941
8.29000,0.10000,0.15951
8.39000,0.10000,0.15958
8.49000,0.10000,0.15964
8.59000,0.10000,0.15969
8.69000,0.10000,0.15972
8.79000,0.10000,0.15973
8.89000,0.10000,0.15974
8.99000,0.10000,0.15974
9.09000,0.10000,0.15974
9.19000,0.10000,0.15973
9.29000,0.10000,0.15972
9.39000,0.10000,0.15970
9.50000,0.10000,0.15969
9.60000,0.10000,0.15968
9.70000,0.10000,0.15967
9.80000,0.10000,0.15966
9.90000,0.10000,0.15966
0.00000,0.20000,0.29599
0.10000,0.20000,0.29585
0.20000,0.20000,0.29557
0.30000,0.20000,0.29517
0.40000,0.20000,0.29462
0.50000,0.20000,0.29396
0.60000,0.20000,0.29316
0.70000,0.20000,0.29225
0.80000,0.20000,0.29123
0.90000,0.20000,0.29009
1.00000,0.20000,0.28886
1.10000,0.20000,0.28754
1.20000,0.20000,0.28614
1.30000,0.20000,0.28466
1.40000,0.20000,0.28312
1.50000,0.20000,0.28152
1.60000,0.20000,0.27988
1.70000,0.20000,0.27820
1.80000,0.20000,0.27649
1.90000,0.20000,0.27476
2.00000,0.20000,0.27303
2.10000,0.20000,0.27129
2.20000,0.20000,0.26956
2.30000,0.20000,0.26784
2.39000,0.20000,0.26613
2.49000,0.20000,0.26446
2.59000,0.20000,0.26281
2.69000,0.20000,0.26119
2.79000,0.20000,0.25959
2.89000,0.20000,0.25803
2.99000,0.20000,0.25649
3.09000,0.20000,0.25497
3.19000,0.20000,0.25345
3.29000,0.20000,0.25192
3.39000,0.20000,0.25036
3.49000,0.20000,0.24875
3.59000,0.20000,0.24705
3.69000,0.20000,0.24522
3.79000,0.20000,0.24322
3.89000,0.20000,0.24097
3.99000,0.20000,0.23841
