x,y,value
0.00000,0.00000,0.05653
0.10000,0.00000,0.05677
0.20000,0.00000,0.05723
0.30000,0.00000,0.05788
0.40000,0.00000,0.05867
0.50000,0.00000,0.05958
0.60000,0.00000,0.06054
0.70000,0.00000,0.06150
0.80000,0.00000,0.06244
0.90000,0.00000,0.06330
1.00000,0.00000,0.06407
1.10000,0.00000,0.06472
1.20000,0.00000,0.06522
1.30000,0.00000,0.06557
1.40000,0.00000,0.06576
1.50000,0.00000,0.06579
1.60000,0.00000,0.06564
1.70000,0.00000,0.06532
1.80000,0.00000,0.06483
1.90000,0.00000,0.06416
2.00000,0.00000,0.06333
2.10000,0.00000,0.06234
2.20000,0.00000,0.06120
2.30000,0.00000,0.05991
2.39000,0.00000,0.05848
2.49000,0.00000,0.05695
2.59000,0.00000,0.05531
2.69000,0.00000,0.05361
2.79000,0.00000,0.05188
2.89000,0.00000,0.05013
2.99000,0.00000,0.04841
3.09000,0.00000,0.04675
3.19000,0.00000,0.04517
3.29000,0.00000,0.04369
3.39000,0.00000,0.04231
3.49000,0.00000,0.04103
3.59000,0.00000,0.03983
3.69000,0.00000,0.03868
3.79000,0.00000,0.03755
3.89000,0.00000,0.03640
3.99000,0.00000,0.03516
4.09000,0.00000,0.03377
4.19000,0.00000,0.03211
4.29000,0.00000,0.03003
4.39000,0.00000,0.02739
4.49000,0.00000,0.02489
4.59000,0.00000,0.02353
4.69000,0.00000,0.02279
4.79000,0.00000,0.02223
4.89000,0.00000,0.02170
4.99000,0.00000,0.02113
5.09000,0.00000,0.02117
5.19000,0.00000,0.02123
5.29000,0.00000,0.02128
5.39000,0.00000,0.02134
5.49000,0.00000,0.02139
5.59000,0.00000,0.02146
5.69000,0.00000,0.02153
5.79000,0.00000,0.02162
5.89000,0.00000,0.02171
5.99000,0.00000,0.02180
6.09000,0.00000,0.02189
6.19000,0.00000,0.02195
6.29000,0.00000,0.02200
6.39000,0.00000,0.02200
6.49000,0.00000,0.02197
6.59000,0.00000,0.02189
6.69000,0.00000,0.02176
6.79000,0.00000,0.02158
6.89000,0.00000,0.02135
6.99000,0.00000,0.02106
7.09000,0.00000,0.02071
7.19000,0.00000,0.02031
7.29000,0.00000,0.01986
7.39000,0.00000,0.01936
7.49000,0.00000,0.01882
7.59000,0.00000,0.01825
7.69000,0.00000,0.01767
7.79000,0.00000,0.01709
7.89000,0.00000,0.01652
7.99000,0.00000,0.01600
8.09000,0.00000,0.01553
8.19000,0.00000,0.01513
8.29000,0.00000,0.01482
8.39000,0.00000,0.01459
8.49000,0.00000,0.01445
8.59000,0.00000,0.01438
8.69000,0.00000,0.01439
8.79000,0.00000,0.01446
8.89000,0.00000,0.01457
8.99000,0.00000,0.01472
9.09000,0.00000,0.01489
9.19000,0.00000,0.01507
9.29000,0.00000,0.01525
9.39000,0.00000,0.01542
9.50000,0.00000,0.01557
9.60000,0.00000,0.01569
9.70000,0.00000,0.01579
9.80000,0.00000,0.01586
9.90000,0.00000,0.01589
0.00000,0.10000,0.05674
0.10000,0.10000,0.05697
0.20000,0.10000,0.05741
0.30000,0.10000,0.05805
0.40000,0.10000,0.05883
0.50000,0.10000,0.05971
0.60000,0.10000,0.06065
0.70000,0.10000,0.06159
0.80000,0.10000,0.06251
0.90000,0.10000,0.06335
1.00000,0.10000,0.06410
1.10000,0.10000,0.06473
1.20000,0.10000,0.06522
1.30000,0.10000,0.06556
1.40000,0.10000,0.06573
1.50000,0.10000,0.06575
1.60000,0.10000,0.06559
1.70000,0.10000,0.06526
1.80000,0.10000,0.06477
1.90000,0.10000,0.06410
2.00000,0.10000,0.06327
2.10000,0.10000,0.06227
2.20000,0.10000,0.06113
2.30000,0.10000,0.05984
2.39000,0.10000,0.05841
2.49000,0.10000,0.05688
2.59000,0.10000,0.05525
2.69000,0.10000,0.05356
2.79000,0.10000,0.05183
2.89000,0.10000,0.05009
2.99000,0.10000,0.04838
3.09000,0.10000,0.04673
3.19000,0.10000,0.04515
3.29000,0.10000,0.04367
3.39000,0.10000,0.04230
3.49000,0.10000,0.04102
3.59000,0.10000,0.03982
3.69000,0.10000,0.03867
3.79000,0.10000,0.03754
3.89000,0.10000,0.03639
3.99000,0.10000,0.03515
4.09000,0.10000,0.03375
4.19000,0.10000,0.03210
4.29000,0.10000,0.03001
4.39000,0.10000,0.02736
4.49000,0.10000,0.02485
4.59000,0.10000,0.02350
4.69000,0.10000,0.02275
4.79000,0.10000,0.02219
4.89000,0.10000,0.02166
4.99000,0.10000,0.02110
5.09000,0.10000,0.02114
5.19000,0.10000,0.02119
5.29000,0.10000,0.02125
5.39000,0.10000,0.02130
5.49000,0.10000,0.02136
5.59000,0.10000,0.02143
5.69000,0.10000,0.02150
5.79000,0.10000,0.02159
5.89000,0.10000,0.02168
5.99000,0.10000,0.02177
6.09000,0.10000,0.02186
6.19000,0.10000,0.02193
6.29000,0.10000,0.02197
6.39000,0.10000,0.02198
6.49000,0.10000,0.02194
6.59000,0.10000,0.02187
6.69000,0.10000,0.02174
6.79000,0.10000,0.02156
6.89000,0.10000,0.02132
6.99000,0.10000,0.02103
7.09000,0.10000,0.02068
7.19000,0.10000,0.02028
7.29000,0.10000,0.01983
7.39000,0.10000,0.01933
7.49000,0.10000,0.01880
7.59000,0.10000,0.01823
7.69000,0.10000,0.01765
7.79000,0.10000,0.01706
7.89000,0.10000,0.01650
7.99000,0.10000,0.01598
