x,y,value
0.00000,0.00000,0.02102
0.10000,0.00000,0.01997
0.20000,0.00000,0.01804
0.30000,0.00000,0.01549
0.40000,0.00000,0.01266
0.50000,0.00000,0.00984
0.60000,0.00000,0.00729
0.70000,0.00000,0.00515
0.80000,0.00000,0.00348
0.90000,0.00000,0.00225
1.00000,0.00000,0.00140
1.10000,0.00000,0.00084
1.20000,0.00000,0.00050
1.30000,0.00000,0.00030
1.40000,0.00000,0.00019
1.50000,0.00000,0.00013
1.60000,0.00000,0.00011
1.70000,0.00000,0.00010
1.80000,0.00000,0.00010
1.90000,0.00000,0.00013
2.00000,0.00000,0.00020
2.10000,0.00000,0.00032
2.20000,0.00000,0.00055
2.30000,0.00000,0.00094
2.39000,0.00000,0.00156
2.49000,0.00000,0.00250
2.59000,0.00000,0.00383
2.69000,0.00000,0.00561
2.79000,0.00000,0.00784
2.89000,0.00000,0.01043
2.99000,0.00000,0.01322
3.09000,0.00000,0.01593
3.19000,0.00000,0.01827
3.29000,0.00000,0.01991
3.39000,0.00000,0.02061
3.49000,0.00000,0.02027
3.59000,0.00000,0.01895
3.69000,0.00000,0.01684
3.79000,0.00000,0.01425
3.89000,0.00000,0.01149
3.99000,0.00000,0.00887
4.09000,0.00000,0.00661
4.19000,0.00000,0.00483
4.29000,0.00000,0.00360
4.39000,0.00000,0.00291
4.49000,0.00000,0.00271
4.59000,0.00000,0.00294
4.69000,0.00000,0.00354
4.79000,0.00000,0.00440
4.89000,0.00000,0.00542
4.99000,0.00000,0.00648
5.09000,0.00000,0.00748
5.19000,0.00000,0.00830
5.29000,0.00000,0.00885
5.39000,0.00000,0.00909
5.49000,0.00000,0.00901
5.59000,0.00000,0.00864
5.69000,0.00000,0.00805
5.79000,0.00000,0.00730
5.89000,0.00000,0.00644
5.99000,0.00000,0.00553
6.09000,0.00000,0.00462
6.19000,0.00000,0.00375
6.29000,0.00000,0.00294
6.39000,0.00000,0.00224
6.49000,0.00000,0.00165
6.59000,0.00000,0.00120
6.69000,0.00000,0.00090
6.79000,0.00000,0.00074
6.89000,0.00000,0.00075
6.99000,0.00000,0.00093
7.09000,0.00000,0.00132
7.19000,0.00000,0.00194
7.29000,0.00000,0.00282
7.39000,0.00000,0.00398
7.49000,0.00000,0.00538
7.59000,0.00000,0.00697
7.69000,0.00000,0.00864
7.79000,0.00000,0.01023
7.89000,0.00000,0.01160
7.99000,0.00000,0.01259
8.09000,0.00000,0.01314
8.19000,0.00000,0.01323
8.29000,0.00000,0.01291
8.39000,0.00000,0.01231
8.49000,0.00000,0.01153
8.59000,0.00000,0.01067
8.69000,0.00000,0.00980
8.79000,0.00000,0.00892
