x,y,value
0.00000,0.00000,0.01278
0.10000,0.00000,0.01282
0.20000,0.00000,0.01290
0.30000,0.00000,0.01301
0.40000,0.00000,0.01316
0.50000,0.00000,0.01334
0.60000,0.00000,0.01355
0.70000,0.00000,0.01379
0.80000,0.00000,0.01405
0.90000,0.00000,0.01432
1.00000,0.00000,0.01461
1.10000,0.00000,0.01491
1.20000,0.00000,0.01522
1.30000,0.00000,0.01552
1.40000,0.00000,0.01582
1.50000,0.00000,0.01611
1.60000,0.00000,0.01639
1.70000,0.00000,0.01666
1.80000,0.00000,0.01691
1.90000,0.00000,0.01714
2.00000,0.00000,0.01734
2.10000,0.00000,0.01753
2.20000,0.00000,0.01769
2.30000,0.00000,0.01782
2.39000,0.00000,0.01794
2.49000,0.00000,0.01802
2.59000,0.00000,0.01808
2.69000,0.00000,0.01812
2.79000,0.00000,0.01814
2.89000,0.00000,0.01814
2.99000,0.00000,0.01812
3.09000,0.00000,0.01808
3.19000,0.00000,0.01802
3.29000,0.00000,0.01796
3.39000,0.00000,0.01787
3.49000,0.00000,0.01778
3.59000,0.00000,0.01768
3.69000,0.00000,0.01756
3.79000,0.00000,0.01744
3.89000,0.00000,0.01731
3.99000,0.00000,0.01718
4.09000,0.00000,0.01704
4.19000,0.00000,0.01689
4.29000,0.00000,0.01674
4.39000,0.00000,0.01658
4.49000,0.00000,0.01642
4.59000,0.00000,0.01625
4.69000,0.00000,0.01607
4.79000,0.00000,0.01589
4.89000,0.00000,0.01570
4.99000,0.00000,0.01551
5.09000,0.00000,0.01532
5.19000,0.00000,0.01513
5.29000,0.00000,0.01495
5.39000,0.00000,0.01476
5.49000,0.00000,0.01459
5.59000,0.00000,0.01441
5.69000,0.00000,0.01424
5.79000,0.00000,0.01408
5.89000,0.00000,0.01392
5.99000,0.00000,0.01377
6.09000,0.00000,0.01362
6.19000,0.00000,0.01349
6.29000,0.00000,0.01336
6.39000,0.00000,0.01324
6.49000,0.00000,0.01314
6.59000,0.00000,0.01304
6.69000,0.00000,0.01295
6.79000,0.00000,0.01287
6.89000,0.00000,0.01281
6.99000,0.00000,0.01275
7.09000,0.00000,0.01270
7.19000,0.00000,0.01265
7.29000,0.00000,0.01262
7.39000,0.00000,0.01259
7.49000,0.00000,0.01256
7.59000,0.00000,0.01254
7.69000,0.00000,0.01252
7.79000,0.00000,0.01250
7.89000,0.00000,0.01248
7.99000,0.00000,0.01246
8.09000,0.00000,0.01243
8.19000,0.00000,0.01241
8.29000,0.00000,0.01239
8.39000,0.00000,0.01236
8.49000,0.00000,0.01233
8.59000,0.00000,0.01230
8.69000,0.00000,0.01226
8.79000,0.00000,0.01222
8.89000,0.00000,0.01219
8.99000,0.00000,0.01215
9.09000,0.00000,0.01211
9.19000,0.00000,0.01208
9.29000,0.00000,0.01204
9.39000,0.00000,0.01201
9.50000,0.00000,0.01199
9.60000,0.00000,0.01196
9.70000,0.00000,0.01195
9.80000,0.00000,0.01193
9.90000,0.00000,0.01193
0.00000,0.10000,0.01277
0.10000,0.10000,0.01281
0.20000,0.10000,0.01288
0.30000,0.10000,0.01300
0.40000,0.10000,0.01315
0.50000,0.10000,0.01333
0.60000,0.10000,0.01354
0.70000,0.10000,0.01378
0.80000,0.10000,0.01403
0.90000,0.10000,0.01431
1.00000,0.10000,0.01460
1.10000,0.10000,0.01490
1.20000,0.10000,0.01520
1.30000,0.10000,0.01551
1.40000,0.10000,0.01581
1.50000,0.10000,0.01610
1.60000,0.10000,0.01638
1.70000,0.10000,0.01665
1.80000,0.10000,0.01690
1.90000,0.10000,0.01713
2.00000,0.10000,0.01733
2.10000,0.10000,0.01752
2.20000,0.10000,0.01768
2.30000,0.10000,0.01782
2.39000,0.10000,0.01793
2.49000,0.10000,0.01801
2.59000,0.10000,0.01808
2.69000,0.10000,0.01812
2.79000,0.10000,0.01814
2.89000,0.10000,0.01813
2.99000,0.10000,0.01811
3.09000,0.10000,0.01807
3.19000,0.10000,0.01802
3.29000,0.10000,0.01795
3.39000,0.10000,0.01787
3.49000,0.10000,0.01778
3.59000,0.10000,0.01767
3.69000,0.10000,0.01756
3.79000,0.10000,0.01744
3.89000,0.10000,0.01731
3.99000,0.10000,0.01718
4.09000,0.10000,0.01704
4.19000,0.10000,0.01689
4.29000,0.10000,0.01674
4.39000,0.10000,0.01658
4.49000,0.10000,0.01642
4.59000,0.10000,0.01625
4.69000,0.10000,0.01607
4.79000,0.10000,0.01589
4.89000,0.10000,0.01570
4.99000,0.10000,0.01551
5.09000,0.10000,0.01532
5.19000,0.10000,0.01513
5.29000,0.10000,0.01495
5.39000,0.10000,0.01477
5.49000,0.10000,0.01459
5.59000,0.10000,0.01441
5.69000,0.10000,0.01424
5.79000,0.10000,0.01408
