x,y,value
0.00000,0.00000,0.08412
0.10000,0.00000,0.08406
0.20000,0.00000,0.08395
0.30000,0.00000,0.08379
0.40000,0.00000,0.08357
0.50000,0.00000,0.08330
0.60000,0.00000,0.08298
0.70000,0.00000,0.08261
0.80000,0.00000,0.08220
0.90000,0.00000,0.08175
1.00000,0.00000,0.08125
1.10000,0.00000,0.08072
1.20000,0.00000,0.08016
1.30000,0.00000,0.07957
1.40000,0.00000,0.07895
1.50000,0.00000,0.07831
1.60000,0.00000,0.07765
1.70000,0.00000,0.07698
1.80000,0.00000,0.07630
1.90000,0.00000,0.07561
2.00000,0.00000,0.07493
2.10000,0.00000,0.07425
2.20000,0.00000,0.07357
2.30000,0.00000,0.07290
2.39000,0.00000,0.07225
2.49000,0.00000,0.07162
2.59000,0.00000,0.07100
2.69000,0.00000,0.07041
2.79000,0.00000,0.06985
2.89000,0.00000,0.06931
2.99000,0.00000,0.06880
3.09000,0.00000,0.06833
3.19000,0.00000,0.06789
3.29000,0.00000,0.06748
3.39000,0.00000,0.06710
3.49000,0.00000,0.06675
3.59000,0.00000,0.06644
3.69000,0.00000,0.06616
3.79000,0.00000,0.06590
3.89000,0.00000,0.06567
3.99000,0.00000,0.06545
4.09000,0.00000,0.06525
4.19000,0.00000,0.06505
4.29000,0.00000,0.06486
4.39000,0.00000,0.06465
4.49000,0.00000,0.06442
4.59000,0.00000,0.06416
4.69000,0.00000,0.06385
4.79000,0.00000,0.06347
4.89000,0.00000,0.06301
4.99000,0.00000,0.06244
5.09000,0.00000,0.06206
5.19000,0.00000,0.06185
5.29000,0.00000,0.06176
5.39000,0.00000,0.06179
5.49000,0.00000,0.06190
5.59000,0.00000,0.06209
5.69000,0.00000,0.06235
5.79000,0.00000,0.06265
5.89000,0.00000,0.06299
5.99000,0.00000,0.06336
6.09000,0.00000,0.06376
6.19000,0.00000,0.06417
6.29000,0.00000,0.06459
6.39000,0.00000,0.06501
6.49000,0.00000,0.06543
6.59000,0.00000,0.06584
6.69000,0.00000,0.06624
6.79000,0.00000,0.06663
6.89000,0.00000,0.06700
6.99000,0.00000,0.06734
7.09000,0.00000,0.06766
7.19000,0.00000,0.06795
7.29000,0.00000,0.06821
7.39000,0.00000,0.06843
7.49000,0.00000,0.06863
7.59000,0.00000,0.06880
7.69000,0.00000,0.06893
7.79000,0.00000,0.06903
7.89000,0.00000,0.06909
7.99000,0.00000,0.06913
8.09000,0.00000,0.06914
8.19000,0.00000,0.06912
8.29000,0.00000,0.06908
8.39000,0.00000,0.06902
8.49000,0.00000,0.06894
8.59000,0.00000,0.06884
8.69000,0.00000,0.06874
8.79000,0.00000,0.06862
8.89000,0.00000,0.06850
8.99000,0.00000,0.06838
9.09000,0.00000,0.06825
9.19000,0.00000,0.06814
9.29000,0.00000,0.06803
9.39000,0.00000,0.06793
9.50000,0.00000,0.06784
9.60000,0.00000,0.06777
9.70000,0.00000,0.06771
9.80000,0.00000,0.06768
9.90000,0.00000,0.06766
0.00000,0.10000,0.08418
0.10000,0.10000,0.08412
0.20000,0.10000,0.08401
0.30000,0.10000,0.08385
0.40000,0.10000,0.08363
0.50000,0.10000,0.08336
0.60000,0.10000,0.08304
0.70000,0.10000,0.08267
0.80000,0.10000,0.08226
0.90000,0.10000,0.08181
1.00000,0.10000,0.08131
1.10000,0.10000,0.08078
1.20000,0.10000,0.08022
1.30000,0.10000,0.07962
1.40000,0.10000,0.07900
1.50000,0.10000,0.07836
1.60000,0.10000,0.07771
1.70000,0.10000,0.07704
1.80000,0.10000,0.07636
1.90000,0.10000,0.07567
2.00000,0.10000,0.07498
2.10000,0.10000,0.07430
2.20000,0.10000,0.07362
2.30000,0.10000,0.07296
2.39000,0.10000,0.07231
2.49000,0.10000,0.07167
2.59000,0.10000,0.07106
2.69000,0.10000,0.07046
