x,y,value
0.00000,0.00000,0.00476
0.10000,0.00000,0.00475
0.20000,0.00000,0.00473
0.30000,0.00000,0.00470
0.40000,0.00000,0.00466
0.50000,0.00000,0.00461
0.60000,0.00000,0.00456
0.70000,0.00000,0.00449
0.80000,0.00000,0.00442
0.90000,0.00000,0.00434
1.00000,0.00000,0.00426
1.10000,0.00000,0.00417
1.20000,0.00000,0.00408
1.30000,0.00000,0.00399
1.40000,0.00000,0.00390
1.50000,0.00000,0.00380
1.60000,0.00000,0.00371
1.70000,0.00000,0.00362
1.80000,0.00000,0.00354
1.90000,0.00000,0.00346
2.00000,0.00000,0.00339
2.10000,0.00000,0.00333
2.20000,0.00000,0.00328
2.30000,0.00000,0.00323
2.39000,0.00000,0.00320
2.49000,0.00000,0.00319
2.59000,0.00000,0.00318
2.69000,0.00000,0.00319
2.79000,0.00000,0.00321
2.89000,0.00000,0.00325
2.99000,0.00000,0.00330
3.09000,0.00000,0.00336
3.19000,0.00000,0.00344
3.29000,0.00000,0.00353
3.39000,0.00000,0.00363
3.49000,0.00000,0.00373
3.59000,0.00000,0.00384
3.69000,0.00000,0.00396
3.79000,0.00000,0.00407
3.89000,0.00000,0.00419
3.99000,0.00000,0.00430
4.09000,0.00000,0.00440
4.19000,0.00000,0.00449
4.29000,0.00000,0.00457
4.39000,0.00000,0.00464
4.49000,0.00000,0.00469
4.59000,0.00000,0.00473
4.69000,0.00000,0.00475
4.79000,0.00000,0.00476
4.89000,0.00000,0.00474
4.99000,0.00000,0.00471
5.09000,0.00000,0.00467
5.19000,0.00000,0.00461
5.29000,0.00000,0.00454
5.39000,0.00000,0.00446
5.49000,0.00000,0.00437
5.59000,0.00000,0.00428
5.69000,0.00000,0.00418
5.79000,0.00000,0.00408
5.89000,0.00000,0.00398
5.99000,0.00000,0.00388
6.09000,0.00000,0.00378
6.19000,0.00000,0.00369
6.29000,0.00000,0.00360
6.39000,0.00000,0.00352
6.49000,0.00000,0.00344
6.59000,0.00000,0.00337
6.69000,0.00000,0.00331
6.79000,0.00000,0.00325
6.89000,0.00000,0.00320
6.99000,0.00000,0.00315
7.09000,0.00000,0.00311
7.19000,0.00000,0.00307
7.29000,0.00000,0.00303
7.39000,0.00000,0.00300
7.49000,0.00000,0.00297
7.59000,0.00000,0.00294
7.69000,0.00000,0.00292
7.79000,0.00000,0.00289
7.89000,0.00000,0.00288
7.99000,0.00000,0.00286
8.09000,0.00000,0.00284
8.19000,0.00000,0.00283
8.29000,0.00000,0.00283
8.39000,0.00000,0.00282
8.49000,0.00000,0.00282
8.59000,0.00000,0.00282
8.69000,0.00000,0.00282
8.79000,0.00000,0.00283
8.89000,0.00000,0.00283
8.99000,0.00000,0.00284
9.09000,0.00000,0.00285
9.19000,0.00000,0.00286
9.29000,0.00000,0.00287
9.39000,0.00000,0.00288
9.50000,0.00000,0.00289
9.60000,0.00000,0.00290
9.70000,0.00000,0.00290
9.80000,0.00000,0.00291
9.90000,0.00000,0.00291
0.00000,0.10000,0.00477
0.10000,0.10000,0.00476
0.20000,0.10000,0.00474
0.30000,0.10000,0.00471
0.40000,0.10000,0.00467
0.50000,0.10000,0.00463
0.60000,0.10000,0.00457
0.70000,0.10000,0.00450
0.80000,0.10000,0.00443
0.90000,0.10000,0.00436
1.00000,0.10000,0.00427
1.10000,0.10000,0.00419
1.20000,0.10000,0.00409
1.30000,0.10000,0.00400
1.40000,0.10000,0.00391
1.50000,0.10000,0.00381
1.60000,0.10000,0.00372
1.70000,0.10000,0.00363
1.80000,0.10000,0.00355
1.90000,0.10000,0.00347
2.00000,0.10000,0.00340
2.10000,0.10000,0.00334
2.20000,0.10000,0.00329
2.30000,0.10000,0.00324
2.39000,0.10000,0.00321
2.49000,0.10000,0.00319
2.59000,0.10000,0.00319
2.69000,0.10000,0.00320
2.79000,0.10000,0.00322
2.89000,0.10000,0.00326
2.99000,0.10000,0.00331
3.09000,0.10000,0.00337
3.19000,0.10000,0.00345
3.29000,0.10000,0.00353
3.39000,0.10000,0.00363
3.49000,0.10000,0.00373
3.59000,0.10000,0.00385
3.69000,0.10000,0.00396
3.79000,0.10000,0.00407
3.89000,0.10000,0.00419
3.99000,0.10000,0.00430
4.09000,0.10000,0.00440
4.19000,0.10000,0.00449
4.29000,0.10000,0.00457
4.39000,0.10000,0.00464
4.49000,0.10000,0.00469
4.59000,0.10000,0.00473
4.69000,0.10000,0.00475
4.79000,0.10000,0.00475
4.89000,0.10000,0.00474
4.99000,0.10000,0.00471
5.09000,0.10000,0.00467
5.19000,0.10000,0.00461
5.29000,0.10000,0.00454
5.39000,0.10000,0.00446
5.49000,0.10000,0.00437
5.59000,0.10000,0.00428
5.69000,0.10000,0.00418
5.79000,0.10000,0.00408
5.89000,0.10000,0.00398
5.99000,0.10000,0.00388
6.09000,0.10000,0.00378
6.19000,0.10000,0.00369
6.29000,0.10000,0.00361
6.39000,0.10000,0.00352
6.49000,0.10000,0.00345
6.59000,0.10000,0.00338
6.69000,0.10000,0.00331
6.79000,0.10000,0.00326
6.89000,0.10000,0.00320
6.99000,0.10000,0.00316
7.09000,0.10000,0.00311
7.19000,0.10000,0.00307
7.29000,0.10000,0.00304
7.39000,0.10000,0.00300
7.49000,0.10000,0.00297
7.59000,0.10000,0.00295
7.69000,0.10000,0.00292
7.79000,0.10000,0.00290
7.89000,0.10000,0.00288
7.99000,0.10000,0.00286
8.09000,0.10000,0.00285
8.19000,0.10000,0.00284
8.29000,0.10000,0.00283
8.39000,0.10000,0.00282
8.49000,0.10000,0.00282
8.59000,0.10000,0.00282
8.69000,0.10000,0.00282
8.79000,0.10000,0.00283
8.89000,0.10000,0.00283
8.99000,0.10000,0.00284
9.09000,0.10000,0.00285
9.19000,0.10000,0.00286
9.29000,0.10000,0.00287
9.39000,0.10000,0.00288
9.50000,0.10000,0.00289
9.60000,0.10000,0.00289
9.70000,0.10000,0.00290
9.80000,0.10000,0.00290
9.90000,0.10000,0.00290
0.00000,0.20000,0.00480
0.10000,0.20000,0.00479
0.20000,0.20000,0.00477
0.30000,0.20000,0.00474
0.40000,0.20000,0.00470
0.50000,0.20000,0.00465
0.60000,0.20000,0.00459
0.70000,0.20000,0.00453
0.80000,0.20000,0.00446
0.90000,0.20000,0.00438
1.00000,0.20000,0.00430
1.10000,0.20000,0.00421
1.20000,0.20000,0.00412
1.30000,0.20000,0.00403
1.40000,0.20000,0.00393
1.50000,0.20000,0.00384
1.60000,0.20000,0.00375
1.70000,0.20000,0.00366
1.80000,0.20000,0.00357
1.90000,0.20000,0.00349
2.00000,0.20000,0.00342
2.10000,0.20000,0.00336
2.20000,0.20000,0.00331
2.30000,0.20000,0.00326
2.39000,0.20000,0.00323
2.49000,0.20000,0.00321
2.59000,0.20000,0.00321
2.69000,0.20000,0.00321
2.79000,0.20000,0.00323
2.89000,0.20000,0.00327
2.99000,0.20000,0.00332
3.09000,0.20000,0.00338
3.19000,0.20000,0.00345
3.29000,0.20000,0.00354
3.39000,0.20000,0.00364
3.49000,0.20000,0.00374
3.59000,0.20000,0.00385
3.69000,0.20000,0.00396
3.79000,0.20000,0.00408
3.89000,0.20000,0.00419
3.99000,0.20000,0.00430
4.09000,0.20000,0.00440
4.19000,0.20000,0.00449
4.29000,0.20000,0.00457
4.39000,0.20000,0.00464
4.49000,0.20000,0.00469
4.59000,0.20000,0.00473
4.69000,0.20000,0.00475
4.79000,0.20000,0.00475
4.89000,0.20000,0.00474
4.99000,0.20000,0.00471
5.09000,0.20000,0.00466
5.19000,0.20000,0.00461
5.29000,0.20000,0.00454
5.39000,0.20000,0.00446
5.49000,0.20000,0.00437
5.59000,0.20000,0.00428
5.69000,0.20000,0.00418
5.79000,0.20000,0.00408
5.89000,0.20000,0.00398
5.99000,0.20000,0.00388
6.09000,0.20000,0.00379
6.19000,0.20000,0.00370
6.29000,0.20000,0.00361
6.39000,0.20000,0.00353
6.49000,0.20000,0.00345
6.59000,0.20000,0.00339
6.69000,0.20000,0.00332
6.79000,0.20000,0.00327
6.89000,0.20000,0.00321
6.99000,0.20000,0.00317
7.09000,0.20000,0.00312
7.19000,0.20000,0.00308
7.29000,0.20000,0.00305
7.39000,0.20000,0.00301
7.49000,0.20000,0.00298
7.59000,0.20000,0.00295
7.69000,0.20000,0.00293
7.79000,0.20000,0.00291
7.89000,0.20000,0.00289
7.99000,0.20000,0.00287
8.09000,0.20000,0.00285
8.19000,0.20000,0.00284
8.29000,0.20000,0.00283
8.39000,0.20000,0.00282
8.49000,0.20000,0.00282
8.59000,0.20000,0.00282
8.69000,0.20000,0.00282
8.79000,0.20000,0.00283
8.89000,0.20000,0.00283
8.99000,0.20000,0.00284
9.09000,0.20000,0.00284
9.19000,0.20000,0.00285
9.29000,0.20000,0.00286
9.39000,0.20000,0.00287
9.50000,0.20000,0.00288
9.60000,0.20000,0.00288
9.70000,0.20000,0.00289
9.80000,0.20000,0.00289
9.90000,0.20000,0.00289
0.00000,0.30000,0.00483
0.10000,0.30000,0.00482
0.20000,0.30000,0.00480
0.30000,0.30000,0.00478
0.40000,0.30000,0.00474
0.50000,0.30000,0.00469
0.60000,0.30000,0.00463
0.70000,0.30000,0.00457
0.80000,0.30000,0.00450
0.90000,0.30000,0.00442
1.00000,0.30000,0.00434
1.10000,0.30000,0.00425
1.20000,0.30000,0.00416
1.30000,0.30000,0.00406
1.40000,0.30000,0.00397
1.50000,0.30000,0.00387
1.60000,0.30000,0.00378
1.70000,0.30000,0.00369
1.80000,0.30000,0.00361
1.90000,0.30000,0.00353
