x,y,value
0.00000,0.00000,0.77431
0.10000,0.00000,0.77115
0.20000,0.00000,0.76485
0.30000,0.00000,0.75552
0.40000,0.00000,0.74329
0.50000,0.00000,0.72839
0.60000,0.00000,0.71110
0.70000,0.00000,0.69184
0.80000,0.00000,0.67111
0.90000,0.00000,0.64951
1.00000,0.00000,0.62775
1.10000,0.00000,0.60658
1.20000,0.00000,0.58682
1.30000,0.00000,0.56925
1.40000,0.00000,0.55463
1.50000,0.00000,0.54361
1.60000,0.00000,0.53671
1.70000,0.00000,0.53425
1.80000,0.00000,0.53637
1.90000,0.00000,0.54300
2.00000,0.00000,0.55386
2.10000,0.00000,0.56847
2.20000,0.00000,0.58620
2.30000,0.00000,0.60631
2.39000,0.00000,0.62799
2.49000,0.00000,0.65042
2.59000,0.00000,0.67281
2.69000,0.00000,0.69443
2.79000,0.00000,0.71468
2.89000,0.00000,0.73306
2.99000,0.00000,0.74921
3.09000,0.00000,0.76289
3.19000,0.00000,0.77398
3.29000,0.00000,0.78248
3.39000,0.00000,0.78846
3.49000,0.00000,0.79210
3.59000,0.00000,0.79361
3.69000,0.00000,0.79325
3.79000,0.00000,0.79133
3.89000,0.00000,0.78812
3.99000,0.00000,0.78383
4.09000,0.00000,0.77854
4.19000,0.00000,0.77202
4.29000,0.00000,0.76344
4.39000,0.00000,0.75082
4.49000,0.00000,0.72998
4.59000,0.00000,0.69334
4.69000,0.00000,0.63014
4.79000,0.00000,0.53118
4.89000,0.00000,0.39596
4.99000,0.00000,0.23504
5.09000,0.00000,0.23394
5.19000,0.00000,0.23279
5.29000,0.00000,0.23195
5.39000,0.00000,0.23136
5.49000,0.00000,0.23088
5.59000,0.00000,0.23037
5.69000,0.00000,0.22976
5.79000,0.00000,0.22899
5.89000,0.00000,0.22805
5.99000,0.00000,0.22696
6.09000,0.00000,0.22575
6.19000,0.00000,0.22449
6.29000,0.00000,0.22325
6.39000,0.00000,0.22211
6.49000,0.00000,0.22116
6.59000,0.00000,0.22048
6.69000,0.00000,0.22013
6.79000,0.00000,0.22015
6.89000,0.00000,0.22056
6.99000,0.00000,0.22136
7.09000,0.00000,0.22248
7.19000,0.00000,0.22389
7.29000,0.00000,0.22549
7.39000,0.00000,0.22719
7.49000,0.00000,0.22892
7.59000,0.00000,0.23059
7.69000,0.00000,0.23213
7.79000,0.00000,0.23350
7.89000,0.00000,0.23465
7.99000,0.00000,0.23559
8.09000,0.00000,0.23629
8.19000,0.00000,0.23678
8.29000,0.00000,0.23705
8.39000,0.00000,0.23712
8.49000,0.00000,0.23700
8.59000,0.00000,0.23670
8.69000,0.00000,0.23622
8.79000,0.00000,0.23558
8.89000,0.00000,0.23478
8.99000,0.00000,0.23384
9.09000,0.00000,0.23277
9.19000,0.00000,0.23162
9.29000,0.00000,0.23042
9.39000,0.00000,0.22924
9.50000,0.00000,0.22811
9.60000,0.00000,0.22712
9.70000,0.00000,0.22632
9.80000,0.00000,0.22575
9.90000,0.00000,0.22546
0.00000,0.10000,0.77288
0.10000,0.10000,0.76974
0.20000,0.10000,0.76349
0.30000,0.10000,0.75424
0.40000,0.10000,0.74213
0.50000,0.10000,0.72738
0.60000,0.10000,0.71029
0.70000,0.10000,0.69127
0.80000,0.10000,0.67081
0.90000,0.10000,0.64952
1.00000,0.10000,0.62809
1.10000,0.10000,0.60726
1.20000,0.10000,0.58784
1.30000,0.10000,0.57059
1.40000,0.10000,0.55625
1.50000,0.10000,0.54545
1.60000,0.10000,0.53871
1.70000,0.10000,0.53634
1.80000,0.10000,0.53848
1.90000,0.10000,0.54505
2.00000,0.10000,0.55578
2.10000,0.10000,0.57020
2.20000,0.10000,0.58770
2.30000,0.10000,0.60756
2.39000,0.10000,0.62897
2.49000,0.10000,0.65114
2.59000,0.10000,0.67328
2.69000,0.10000,0.69469
2.79000,0.10000,0.71476
2.89000,0.10000,0.73299
2.99000,0.10000,0.74904
3.09000,0.10000,0.76265
3.19000,0.10000,0.77372
3.29000,0.10000,0.78222
3.39000,0.10000,0.78824
3.49000,0.10000,0.79194
3.59000,0.10000,0.79354
3.69000,0.10000,0.79329
3.79000,0.10000,0.79150
3.89000,0.10000,0.78842
3.99000,0.10000,0.78428
4.09000,0.10000,0.77914
4.19000,0.10000,0.77276
4.29000,0.10000,0.76432
4.39000,0.10000,0.75181
4.49000,0.10000,0.73105
4.59000,0.10000,0.69440
4.69000,0.10000,0.63107
4.79000,0.10000,0.53186
4.89000,0.10000,0.39635
4.99000,0.10000,0.23515
5.09000,0.10000,0.23406
5.19000,0.10000,0.23292
5.29000,0.10000,0.23208
5.39000,0.10000,0.23149
5.49000,0.10000,0.23101
5.59000,0.10000,0.23051
5.69000,0.10000,0.22990
5.79000,0.10000,0.22913
5.89000,0.10000,0.22821
5.99000,0.10000,0.22712
6.09000,0.10000,0.22593
6.19000,0.10000,0.22468
6.29000,0.10000,0.22345
6.39000,0.10000,0.22232
6.49000,0.10000,0.22138
6.59000,0.10000,0.22071
6.69000,0.10000,0.22036
6.79000,0.10000,0.22039
6.89000,0.10000,0.22080
6.99000,0.10000,0.22158
7.09000,0.10000,0.22270
7.19000,0.10000,0.22409
7.29000,0.10000,0.22568
7.39000,0.10000,0.22737
7.49000,0.10000,0.22908
7.59000,0.10000,0.23074
7.69000,0.10000,0.23227
7.79000,0.10000,0.23362
7.89000,0.10000,0.23477
7.99000,0.10000,0.23570
8.09000,0.10000,0.23640
8.19000,0.10000,0.23688
8.29000,0.10000,0.23716
8.39000,0.10000,0.23723
8.49000,0.10000,0.23712
8.59000,0.10000,0.23682
8.69000,0.10000,0.23635
8.79000,0.10000,0.23572
8.89000,0.10000,0.23493
8.99000,0.10000,0.23400
9.09000,0.10000,0.23296
9.19000,0.10000,0.23182
9.29000,0.10000,0.23064
9.39000,0.10000,0.22947
9.50000,0.10000,0.22836
9.60000,0.10000,0.22738
9.70000,0.10000,0.22659
9.80000,0.10000,0.22603
9.90000,0.10000,0.22574
0.00000,0.20000,0.76997
0.10000,0.20000,0.76688
0.20000,0.20000,0.76074
0.30000,0.20000,0.75166
0.40000,0.20000,0.73978
0.50000,0.20000,0.72534
0.60000,0.20000,0.70864
0.70000,0.20000,0.69009
0.80000,0.20000,0.67018
0.90000,0.20000,0.64951
1.00000,0.20000,0.62873
1.10000,0.20000,0.60859
1.20000,0.20000,0.58983
1.30000,0.20000,0.57321
1.40000,0.20000,0.55942
1.50000,0.20000,0.54907
1.60000,0.20000,0.54265
1.70000,0.20000,0.54045
1.80000,0.20000,0.54262
1.90000,0.20000,0.54908
2.00000,0.20000,0.55956
2.10000,0.20000,0.57363
2.20000,0.20000,0.59069
2.30000,0.20000,0.61005
2.39000,0.20000,0.63094
2.49000,0.20000,0.65259
2.59000,0.20000,0.67426
2.69000,0.20000,0.69524
2.79000,0.20000,0.71494
2.89000,0.20000,0.73289
2.99000,0.20000,0.74873
3.09000,0.20000,0.76221
3.19000,0.20000,0.77321
3.29000,0.20000,0.78173
3.39000,0.20000,0.78782
3.49000,0.20000,0.79164
3.59000,0.20000,0.79341
3.69000,0.20000,0.79338
3.79000,0.20000,0.79183
3.89000,0.20000,0.78902
3.99000,0.20000,0.78517
4.09000,0.20000,0.78032
4.19000,0.20000,0.77422
4.29000,0.20000,0.76604
4.39000,0.20000,0.75376
4.49000,0.20000,0.73315
4.59000,0.20000,0.69648
4.69000,0.20000,0.63290
4.79000,0.20000,0.53320
4.89000,0.20000,0.39709
4.99000,0.20000,0.23536
5.09000,0.20000,0.23429
5.19000,0.20000,0.23316
5.29000,0.20000,0.23234
5.39000,0.20000,0.23176
5.49000,0.20000,0.23128
5.59000,0.20000,0.23078
5.69000,0.20000,0.23017
5.79000,0.20000,0.22942
5.89000,0.20000,0.22851
5.99000,0.20000,0.22744
6.09000,0.20000,0.22627
6.19000,0.20000,0.22505
6.29000,0.20000,0.22384
6.39000,0.20000,0.22274
6.49000,0.20000,0.22182
6.59000,0.20000,0.22116
6.69000,0.20000,0.22082
6.79000,0.20000,0.22085
6.89000,0.20000,0.22126
6.99000,0.20000,0.22203
7.09000,0.20000,0.22313
7.19000,0.20000,0.22449
7.29000,0.20000,0.22605
7.39000,0.20000,0.22771
7.49000,0.20000,0.22940
7.59000,0.20000,0.23102
7.69000,0.20000,0.23253
7.79000,0.20000,0.23386
7.89000,0.20000,0.23500
7.99000,0.20000,0.23591
8.09000,0.20000,0.23661
8.19000,0.20000,0.23709
8.29000,0.20000,0.23736
8.39000,0.20000,0.23744
8.49000,0.20000,0.23734
8.59000,0.20000,0.23706
8.69000,0.20000,0.23661
8.79000,0.20000,0.23600
8.89000,0.20000,0.23523
8.99000,0.20000,0.23433
9.09000,0.20000,0.23331
9.19000,0.20000,0.23220
9.29000,0.20000,0.23106
9.39000,0.20000,0.22992
9.50000,0.20000,0.22884
9.60000,0.20000,0.22789
9.70000,0.20000,0.22711
9.80000,0.20000,0.22657
9.90000,0.20000,0.22629
0.00000,0.30000,0.76552
0.10000,0.30000,0.76251
0.20000,0.30000,0.75653
0.30000,0.30000,0.74770
0.40000,0.30000,0.73618
0.50000,0.30000,0.72220
0.60000,0.30000,0.70609
0.70000,0.30000,0.68825
0.80000,0.30000,0.66916
0.90000,0.30000,0.64940
1.00000,0.30000,0.62961
1.10000,0.30000,0.61047
1.20000,0.30000,0.59270
1.30000,0.30000,0.57700
1.40000,0.30000,0.56402
1.50000,0.30000,0.55434
1.60000,0.30000,0.54839
1.70000,0.30000,0.54647
1.80000,0.30000,0.54869
1.90000,0.30000,0.55499
2.00000,0.30000,0.56512
2.10000,0.30000,0.57867
2.20000,0.30000,0.59510
2.30000,0.30000,0.61374
2.39000,0.30000,0.63389
2.49000,0.30000,0.65479
2.59000,0.30000,0.67576
2.69000,0.30000,0.69611
2.79000,0.30000,0.71528
2.89000,0.30000,0.73281
2.99000,0.30000,0.74833
3.09000,0.30000,0.76162
3.19000,0.30000,0.77253
3.29000,0.30000,0.78105
3.39000,0.30000,0.78723
3.49000,0.30000,0.79123
3.59000,0.30000,0.79324
3.69000,0.30000,0.79351
3.79000,0.30000,0.79231
3.89000,0.30000,0.78990
3.99000,0.30000,0.78646
4.09000,0.30000,0.78203
4.19000,0.30000,0.77635
4.29000,0.30000,0.76855
4.39000,0.30000,0.75660
4.49000,0.30000,0.73619
4.59000,0.30000,0.69950
4.69000,0.30000,0.63554
4.79000,0.30000,0.53513
4.89000,0.30000,0.39817
4.99000,0.30000,0.23566
5.09000,0.30000,0.23461
5.19000,0.30000,0.23351
5.29000,0.30000,0.23270
5.39000,0.30000,0.23212
5.49000,0.30000,0.23165
5.59000,0.30000,0.23115
5.69000,0.30000,0.23055
5.79000,0.30000,0.22982
5.89000,0.30000,0.22893
5.99000,0.30000,0.22789
6.09000,0.30000,0.22675
6.19000,0.30000,0.22557
6.29000,0.30000,0.22440
6.39000,0.30000,0.22333
6.49000,0.30000,0.22244
6.59000,0.30000,0.22180
6.69000,0.30000,0.22148
6.79000,0.30000,0.22151
6.89000,0.30000,0.22191
6.99000,0.30000,0.22266
7.09000,0.30000,0.22373
7.19000,0.30000,0.22506
7.29000,0.30000,0.22658
7.39000,0.30000,0.22820
7.49000,0.30000,0.22984
