x,y,value
0.00000,0.00000,0.04424
0.10000,0.00000,0.04423
0.20000,0.00000,0.04419
0.30000,0.00000,0.04414
0.40000,0.00000,0.04408
0.50000,0.00000,0.04400
0.60000,0.00000,0.04390
0.70000,0.00000,0.04379
0.80000,0.00000,0.04367
0.90000,0.00000,0.04353
1.00000,0.00000,0.04339
1.10000,0.00000,0.04323
1.20000,0.00000,0.04306
1.30000,0.00000,0.04289
1.40000,0.00000,0.04271
1.50000,0.00000,0.04252
1.60000,0.00000,0.04232
1.70000,0.00000,0.04212
1.80000,0.00000,0.04192
1.90000,0.00000,0.04172
2.00000,0.00000,0.04151
2.10000,0.00000,0.04130
2.20000,0.00000,0.04109
2.30000,0.00000,0.04089
2.39000,0.00000,0.04068
2.49000,0.00000,0.04047
2.59000,0.00000,0.04027
2.69000,0.00000,0.04006
2.79000,0.00000,0.03986
2.89000,0.00000,0.03966
2.99000,0.00000,0.03945
3.09000,0.00000,0.03925
3.19000,0.00000,0.03905
3.29000,0.00000,0.03884
3.39000,0.00000,0.03862
3.49000,0.00000,0.03840
3.59000,0.00000,0.03816
3.69000,0.00000,0.03790
3.79000,0.00000,0.03762
3.89000,0.00000,0.03730
3.99000,0.00000,0.03694
4.09000,0.00000,0.03652
4.19000,0.00000,0.03602
4.29000,0.00000,0.03543
4.39000,0.00000,0.03472
4.49000,0.00000,0.03385
4.59000,0.00000,0.03281
4.69000,0.00000,0.03155
4.79000,0.00000,0.03004
4.89000,0.00000,0.02823
4.99000,0.00000,0.02611
5.09000,0.00000,0.02552
5.19000,0.00000,0.02510
5.29000,0.00000,0.02478
5.39000,0.00000,0.02451
5.49000,0.00000,0.02428
5.59000,0.00000,0.02407
5.69000,0.00000,0.02387
5.79000,0.00000,0.02368
5.89000,0.00000,0.02347
5.99000,0.00000,0.02327
6.09000,0.00000,0.02305
6.19000,0.00000,0.02282
6.29000,0.00000,0.02257
6.39000,0.00000,0.02231
6.49000,0.00000,0.02204
6.59000,0.00000,0.02175
6.69000,0.00000,0.02144
6.79000,0.00000,0.02111
6.89000,0.00000,0.02077
6.99000,0.00000,0.02042
7.09000,0.00000,0.02005
7.19000,0.00000,0.01967
7.29000,0.00000,0.01928
7.39000,0.00000,0.01888
7.49000,0.00000,0.01847
7.59000,0.00000,0.01806
7.69000,0.00000,0.01764
7.79000,0.00000,0.01722
7.89000,0.00000,0.01680
7.99000,0.00000,0.01638
8.09000,0.00000,0.01597
8.19000,0.00000,0.01556
8.29000,0.00000,0.01516
8.39000,0.00000,0.01478
8.49000,0.00000,0.01440
8.59000,0.00000,0.01404
8.69000,0.00000,0.01370
8.79000,0.00000,0.01337
8.89000,0.00000,0.01307
8.99000,0.00000,0.01278
9.09000,0.00000,0.01252
9.19000,0.00000,0.01229
9.29000,0.00000,0.01208
9.39000,0.00000,0.01190
9.50000,0.00000,0.01175
9.60000,0.00000,0.01163
9.70000,0.00000,0.01154
9.80000,0.00000,0.01148
9.90000,0.00000,0.01145
0.00000,0.10000,0.04421
0.10000,0.10000,0.04419
0.20000,0.10000,0.04416
0.30000,0.10000,0.04411
0.40000,0.10000,0.04404
0.50000,0.10000,0.04396
0.60000,0.10000,0.04387
0.70000,0.10000,0.04376
0.80000,0.10000,0.04364
0.90000,0.10000,0.04350
1.00000,0.10000,0.04336
1.10000,0.10000,0.04320
1.20000,0.10000,0.04303
1.30000,0.10000,0.04286
1.40000,0.10000,0.04268
1.50000,0.10000,0.04249
1.60000,0.10000,0.04230
1.70000,0.10000,0.04210
1.80000,0.10000,0.04190
1.90000,0.10000,0.04169
2.00000,0.10000,0.04149
2.10000,0.10000,0.04128
2.20000,0.10000,0.04107
2.30000,0.10000,0.04087
2.39000,0.10000,0.04066
2.49000,0.10000,0.04046
2.59000,0.10000,0.04025
2.69000,0.10000,0.04005
2.79000,0.10000,0.03985
2.89000,0.10000,0.03964
2.99000,0.10000,0.03944
3.09000,0.10000,0.03924
3.19000,0.10000,0.03904
3.29000,0.10000,0.03883
3.39000,0.10000,0.03861
3.49000,0.10000,0.03839
3.59000,0.10000,0.03815
3.69000,0.10000,0.03789
3.79000,0.10000,0.03761
3.89000,0.10000,0.03729
3.99000,0.10000,0.03693
4.09000,0.10000,0.03651
4.19000,0.10000,0.03601
4.29000,0.10000,0.03542
4.39000,0.10000,0.03471
4.49000,0.10000,0.03384
4.59000,0.10000,0.03280
4.69000,0.10000,0.03154
4.79000,0.10000,0.03002
4.89000,0.10000,0.02822
4.99000,0.10000,0.02610
5.09000,0.10000,0.02551
5.19000,0.10000,0.02509
5.29000,0.10000,0.02476
5.39000,0.10000,0.02450
5.49000,0.10000,0.02427
5.59000,0.10000,0.02406
5.69000,0.10000,0.02386
5.79000,0.10000,0.02366
5.89000,0.10000,0.02346
5.99000,0.10000,0.02325
6.09000,0.10000,0.02303
6.19000,0.10000,0.02280
6.29000,0.10000,0.02256
6.39000,0.10000,0.02230
6.49000,0.10000,0.02202
6.59000,0.10000,0.02173
6.69000,0.10000,0.02142
6.79000,0.10000,0.02110
6.89000,0.10000,0.02076
6.99000,0.10000,0.02041
7.09000,0.10000,0.02004
7.19000,0.10000,0.01966
7.29000,0.10000,0.01927
7.39000,0.10000,0.01887
7.49000,0.10000,0.01847
7.59000,0.10000,0.01806
7.69000,0.10000,0.01764
7.79000,0.10000,0.01722
7.89000,0.10000,0.01680
7.99000,0.10000,0.01638
8.09000,0.10000,0.01597
8.19000,0.10000,0.01557
8.29000,0.10000,0.01517
8.39000,0.10000,0.01478
8.49000,0.10000,0.01441
8.59000,0.10000,0.01405
8.69000,0.10000,0.01371
8.79000,0.10000,0.01338
8.89000,0.10000,0.01308
8.99000,0.10000,0.01280
9.09000,0.10000,0.01254
9.19000,0.10000,0.01231
9.29000,0.10000,0.01210
9.39000,0.10000,0.01192
9.50000,0.10000,0.01177
9.60000,0.10000,0.01165
9.70000,0.10000,0.01156
9.80000,0.10000,0.01150
9.90000,0.10000,0.01146
0.00000,0.20000,0.04414
0.10000,0.20000,0.04412
0.20000,0.20000,0.04409
0.30000,0.20000,0.04404
0.40000,0.20000,0.04397
0.50000,0.20000,0.04389
0.60000,0.20000,0.04380
0.70000,0.20000,0.04369
0.80000,0.20000,0.04357
0.90000,0.20000,0.04344
1.00000,0.20000,0.04329
1.10000,0.20000,0.04314
1.20000,0.20000,0.04297
1.30000,0.20000,0.04280
1.40000,0.20000,0.04262
1.50000,0.20000,0.04243
1.60000,0.20000,0.04224
1.70000,0.20000,0.04205
1.80000,0.20000,0.04185
1.90000,0.20000,0.04165
2.00000,0.20000,0.04144
2.10000,0.20000,0.04124
2.20000,0.20000,0.04103
2.30000,0.20000,0.04083
2.39000,0.20000,0.04063
2.49000,0.20000,0.04042
2.59000,0.20000,0.04022
2.69000,0.20000,0.04002
2.79000,0.20000,0.03982
2.89000,0.20000,0.03962
2.99000,0.20000,0.03942
3.09000,0.20000,0.03922
3.19000,0.20000,0.03901
3.29000,0.20000,0.03881
3.39000,0.20000,0.03859
3.49000,0.20000,0.03837
3.59000,0.20000,0.03813
3.69000,0.20000,0.03788
3.79000,0.20000,0.03759
3.89000,0.20000,0.03728
3.99000,0.20000,0.03691
4.09000,0.20000,0.03649
4.19000,0.20000,0.03600
4.29000,0.20000,0.03540
4.39000,0.20000,0.03469
4.49000,0.20000,0.03383
4.59000,0.20000,0.03278
4.69000,0.20000,0.03152
4.79000,0.20000,0.03000
