x,y,value
0.00000,0.00000,0.09716
0.10000,0.00000,0.09717
0.20000,0.00000,0.09721
0.30000,0.00000,0.09726
0.40000,0.00000,0.09733
0.50000,0.00000,0.09742
0.60000,0.00000,0.09753
0.70000,0.00000,0.09766
0.80000,0.00000,0.09781
0.90000,0.00000,0.09798
1.00000,0.00000,0.09817
1.10000,0.00000,0.09838
1.20000,0.00000,0.09861
1.30000,0.00000,0.09886
1.40000,0.00000,0.09913
1.50000,0.00000,0.09941
1.60000,0.00000,0.09971
1.70000,0.00000,0.10001
1.80000,0.00000,0.10032
1.90000,0.00000,0.10063
2.00000,0.00000,0.10094
2.10000,0.00000,0.10124
2.20000,0.00000,0.10152
2.30000,0.00000,0.10179
2.39000,0.00000,0.10203
2.49000,0.00000,0.10223
2.59000,0.00000,0.10240
2.69000,0.00000,0.10253
2.79000,0.00000,0.10261
2.89000,0.00000,0.10264
2.99000,0.00000,0.10261
3.09000,0.00000,0.10252
3.19000,0.00000,0.10236
3.29000,0.00000,0.10214
3.39000,0.00000,0.10185
3.49000,0.00000,0.10148
3.59000,0.00000,0.10104
3.69000,0.00000,0.10052
3.79000,0.00000,0.09992
3.89000,0.00000,0.09924
3.99000,0.00000,0.09847
4.09000,0.00000,0.09761
4.19000,0.00000,0.09665
4.29000,0.00000,0.09558
4.39000,0.00000,0.09440
4.49000,0.00000,0.09308
4.59000,0.00000,0.09161
4.69000,0.00000,0.08998
4.79000,0.00000,0.08814
4.89000,0.00000,0.08606
4.99000,0.00000,0.08371
5.09000,0.00000,0.08185
5.19000,0.00000,0.08038
5.29000,0.00000,0.07922
5.39000,0.00000,0.07832
5.49000,0.00000,0.07763
5.59000,0.00000,0.07712
5.69000,0.00000,0.07677
5.79000,0.00000,0.07655
5.89000,0.00000,0.07645
5.99000,0.00000,0.07646
6.09000,0.00000,0.07657
6.19000,0.00000,0.07676
6.29000,0.00000,0.07703
6.39000,0.00000,0.07738
6.49000,0.00000,0.07779
6.59000,0.00000,0.07827
6.69000,0.00000,0.07880
6.79000,0.00000,0.07938
6.89000,0.00000,0.08001
6.99000,0.00000,0.08069
7.09000,0.00000,0.08141
7.19000,0.00000,0.08216
7.29000,0.00000,0.08296
7.39000,0.00000,0.08378
7.49000,0.00000,0.08463
7.59000,0.00000,0.08550
7.69000,0.00000,0.08640
7.79000,0.00000,0.08731
7.89000,0.00000,0.08824
7.99000,0.00000,0.08918
8.09000,0.00000,0.09012
8.19000,0.00000,0.09106
8.29000,0.00000,0.09200
8.39000,0.00000,0.09292
8.49000,0.00000,0.09383
8.59000,0.00000,0.09472
8.69000,0.00000,0.09558
8.79000,0.00000,0.09641
8.89000,0.00000,0.09719
8.99000,0.00000,0.09793
9.09000,0.00000,0.09862
9.19000,0.00000,0.09924
9.29000,0.00000,0.09981
9.39000,0.00000,0.10030
9.50000,0.00000,0.10072
9.60000,0.00000,0.10106
9.70000,0.00000,0.10131
9.80000,0.00000,0.10149
9.90000,0.00000,0.10157
0.00000,0.10000,0.09724
0.10000,0.10000,0.09725
0.20000,0.10000,0.09729
0.30000,0.10000,0.09734
0.40000,0.10000,0.09741
0.50000,0.10000,0.09750
0.60000,0.10000,0.09761
0.70000,0.10000,0.09773
0.80000,0.10000,0.09788
