x,y,value
0.00000,0.00000,0.00919
0.10000,0.00000,0.00922
0.20000,0.00000,0.00928
0.30000,0.00000,0.00937
0.40000,0.00000,0.00948
0.50000,0.00000,0.00962
0.60000,0.00000,0.00977
0.70000,0.00000,0.00994
0.80000,0.00000,0.01012
0.90000,0.00000,0.01030
1.00000,0.00000,0.01048
1.10000,0.00000,0.01065
1.20000,0.00000,0.01081
1.30000,0.00000,0.01095
1.40000,0.00000,0.01107
1.50000,0.00000,0.01116
1.60000,0.00000,0.01122
1.70000,0.00000,0.01124
1.80000,0.00000,0.01122
1.90000,0.00000,0.01116
2.00000,0.00000,0.01106
2.10000,0.00000,0.01091
2.20000,0.00000,0.01073
2.30000,0.00000,0.01050
2.39000,0.00000,0.01024
2.49000,0.00000,0.00994
2.59000,0.00000,0.00961
2.69000,0.00000,0.00926
2.79000,0.00000,0.00889
2.89000,0.00000,0.00850
2.99000,0.00000,0.00810
3.09000,0.00000,0.00770
3.19000,0.00000,0.00731
3.29000,0.00000,0.00692
3.39000,0.00000,0.00654
3.49000,0.00000,0.00618
3.59000,0.00000,0.00584
3.69000,0.00000,0.00553
3.79000,0.00000,0.00524
3.89000,0.00000,0.00498
3.99000,0.00000,0.00476
4.09000,0.00000,0.00457
4.19000,0.00000,0.00441
4.29000,0.00000,0.00428
4.39000,0.00000,0.00419
4.49000,0.00000,0.00413
4.59000,0.00000,0.00409
4.69000,0.00000,0.00409
4.79000,0.00000,0.00412
4.89000,0.00000,0.00417
4.99000,0.00000,0.00424
5.09000,0.00000,0.00434
5.19000,0.00000,0.00447
5.29000,0.00000,0.00461
5.39000,0.00000,0.00478
5.49000,0.00000,0.00496
5.59000,0.00000,0.00516
5.69000,0.00000,0.00538
5.79000,0.00000,0.00561
5.89000,0.00000,0.00585
5.99000,0.00000,0.00610
6.09000,0.00000,0.00636
6.19000,0.00000,0.00662
6.29000,0.00000,0.00689
6.39000,0.00000,0.00717
6.49000,0.00000,0.00744
6.59000,0.00000,0.00771
6.69000,0.00000,0.00797
6.79000,0.00000,0.00824
6.89000,0.00000,0.00849
6.99000,0.00000,0.00874
7.09000,0.00000,0.00898
7.19000,0.00000,0.00921
7.29000,0.00000,0.00944
7.39000,0.00000,0.00966
7.49000,0.00000,0.00987
7.59000,0.00000,0.01007
7.69000,0.00000,0.01027
7.79000,0.00000,0.01047
7.89000,0.00000,0.01067
7.99000,0.00000,0.01086
8.09000,0.00000,0.01105
8.19000,0.00000,0.01125
8.29000,0.00000,0.01145
8.39000,0.00000,0.01165
8.49000,0.00000,0.01186
8.59000,0.00000,0.01206
8.69000,0.00000,0.01227
8.79000,0.00000,0.01248
8.89000,0.00000,0.01268
8.99000,0.00000,0.01288
9.09000,0.00000,0.01307
9.19000,0.00000,0.01325
9.29000,0.00000,0.01341
9.39000,0.00000,0.01356
9.50000,0.00000,0.01369
9.60000,0.00000,0.01380
9.70000,0.00000,0.01388
9.80000,0.00000,0.01394
9.90000,0.00000,0.01397
0.00000,0.10000,0.00921
0.10000,0.10000,0.00924
0.20000,0.10000,0.00930
0.30000,0.10000,0.00939
0.40000,0.10000,0.00950
0.50000,0.10000,0.00964
0.60000,0.10000,0.00979
0.70000,0.10000,0.00996
0.80000,0.10000,0.01014
0.90000,0.10000,0.01032
1.00000,0.10000,0.01050
1.10000,0.10000,0.01067
1.20000,0.10000,0.01083
1.30000,0.10000,0.01097
1.40000,0.10000,0.01109
1.50000,0.10000,0.01118
1.60000,0.10000,0.01124
1.70000,0.10000,0.01126
1.80000,0.10000,0.01124
1.90000,0.10000,0.01118
2.00000,0.10000,0.01107
2.10000,0.10000,0.01093
2.20000,0.10000,0.01074
2.30000,0.10000,0.01052
2.39000,0.10000,0.01025
2.49000,0.10000,0.00996
2.59000,0.10000,0.00963
2.69000,0.10000,0.00928
2.79000,0.10000,0.00890
2.89000,0.10000,0.00852
2.99000,0.10000,0.00812
3.09000,0.10000,0.00772
3.19000,0.10000,0.00732
3.29000,0.10000,0.00693
3.39000,0.10000,0.00656
3.49000,0.10000,0.00620
3.59000,0.10000,0.00586
3.69000,0.10000,0.00554
3.79000,0.10000,0.00526
3.89000,0.10000,0.00500
3.99000,0.10000,0.00478
4.09000,0.10000,0.00459
4.19000,0.10000,0.00443
4.29000,0.10000,0.00430
4.39000,0.10000,0.00421
4.49000,0.10000,0.00414
4.59000,0.10000,0.00411
4.69000,0.10000,0.00411
4.79000,0.10000,0.00413
4.89000,0.10000,0.00418
4.99000,0.10000,0.00426
5.09000,0.10000,0.00436
5.19000,0.10000,0.00448
5.29000,0.10000,0.00462
5.39000,0.10000,0.00479
5.49000,0.10000,0.00497
5.59000,0.10000,0.00517
5.69000,0.10000,0.00538
5.79000,0.10000,0.00561
5.89000,0.10000,0.00585
5.99000,0.10000,0.00610
6.09000,0.10000,0.00636
6.19000,0.10000,0.00662
6.29000,0.10000,0.00689
6.39000,0.10000,0.00716
6.49000,0.10000,0.00743
6.59000,0.10000,0.00769
6.69000,0.10000,0.00796
6.79000,0.10000,0.00822
6.89000,0.10000,0.00847
6.99000,0.10000,0.00872
7.09000,0.10000,0.00896
7.19000,0.10000,0.00919
7.29000,0.10000,0.00941
7.39000,0.10000,0.00963
7.49000,0.10000,0.00984
7.59000,0.10000,0.01004
7.69000,0.10000,0.01024
7.79000,0.10000,0.01044
7.89000,0.10000,0.01063
7.99000,0.10000,0.01083
8.09000,0.10000,0.01102
8.19000,0.10000,0.01122
8.29000,0.10000,0.01142
8.39000,0.10000,0.01162
8.49000,0.10000,0.01182
8.59000,0.10000,0.01202
8.69000,0.10000,0.01223
8.79000,0.10000,0.01243
8.89000,0.10000,0.01264
8.99000,0.10000,0.01283
9.09000,0.10000,0.01302
9.19000,0.10000,0.01320
9.29000,0.10000,0.01337
9.39000,0.10000,0.01352
9.50000,0.10000,0.01364
9.60000,0.10000,0.01375
9.70000,0.10000,0.01383
9.80000,0.10000,0.01389
9.90000,0.10000,0.01392
0.00000,0.20000,0.00925
0.10000,0.20000,0.00928
0.20000,0.20000,0.00934
0.30000,0.20000,0.00943
0.40000,0.20000,0.00954
0.50000,0.20000,0.00968
0.60000,0.20000,0.00983
0.70000,0.20000,0.01000
0.80000,0.20000,0.01018
0.90000,0.20000,0.01036
1.00000,0.20000,0.01054
1.10000,0.20000,0.01071
1.20000,0.20000,0.01087
1.30000,0.20000,0.01101
1.40000,0.20000,0.01113
