x,y,value
0.00000,0.00000,0.00352
0.10000,0.00000,0.00354
0.20000,0.00000,0.00357
0.30000,0.00000,0.00362
0.40000,0.00000,0.00368
0.50000,0.00000,0.00375
0.60000,0.00000,0.00383
0.70000,0.00000,0.00392
0.80000,0.00000,0.00402
0.90000,0.00000,0.00411
1.00000,0.00000,0.00421
1.10000,0.00000,0.00430
1.20000,0.00000,0.00439
1.30000,0.00000,0.00448
1.40000,0.00000,0.00456
1.50000,0.00000,0.00462
1.60000,0.00000,0.00468
1.70000,0.00000,0.00473
1.80000,0.00000,0.00477
1.90000,0.00000,0.00480
2.00000,0.00000,0.00481
2.10000,0.00000,0.00482
2.20000,0.00000,0.00482
2.30000,0.00000,0.00481
2.39000,0.00000,0.00480
2.49000,0.00000,0.00478
2.59000,0.00000,0.00475
2.69000,0.00000,0.00472
2.79000,0.00000,0.00469
2.89000,0.00000,0.00465
2.99000,0.00000,0.00461
3.09000,0.00000,0.00457
3.19000,0.00000,0.00453
3.29000,0.00000,0.00449
3.39000,0.00000,0.00445
3.49000,0.00000,0.00442
3.59000,0.00000,0.00438
3.69000,0.00000,0.00435
3.79000,0.00000,0.00432
3.89000,0.00000,0.00429
3.99000,0.00000,0.00427
4.09000,0.00000,0.00426
4.19000,0.00000,0.00425
4.29000,0.00000,0.00425
4.39000,0.00000,0.00425
4.49000,0.00000,0.00426
4.59000,0.00000,0.00428
4.69000,0.00000,0.00430
4.79000,0.00000,0.00432
4.89000,0.00000,0.00434
4.99000,0.00000,0.00437
5.09000,0.00000,0.00440
5.19000,0.00000,0.00442
5.29000,0.00000,0.00445
5.39000,0.00000,0.00447
5.49000,0.00000,0.00449
5.59000,0.00000,0.00450
5.69000,0.00000,0.00451
5.79000,0.00000,0.00452
5.89000,0.00000,0.00453
5.99000,0.00000,0.00454
6.09000,0.00000,0.00454
6.19000,0.00000,0.00454
6.29000,0.00000,0.00454
6.39000,0.00000,0.00454
6.49000,0.00000,0.00455
6.59000,0.00000,0.00455
6.69000,0.00000,0.00455
6.79000,0.00000,0.00456
6.89000,0.00000,0.00456
6.99000,0.00000,0.00456
7.09000,0.00000,0.00457
7.19000,0.00000,0.00457
7.29000,0.00000,0.00457
7.39000,0.00000,0.00458
7.49000,0.00000,0.00458
7.59000,0.00000,0.00459
7.69000,0.00000,0.00460
7.79000,0.00000,0.00462
7.89000,0.00000,0.00464
7.99000,0.00000,0.00468
8.09000,0.00000,0.00474
8.19000,0.00000,0.00480
8.29000,0.00000,0.00489
8.39000,0.00000,0.00500
8.49000,0.00000,0.00513
8.59000,0.00000,0.00527
8.69000,0.00000,0.00544
8.79000,0.00000,0.00562
8.89000,0.00000,0.00582
8.99000,0.00000,0.00603
9.09000,0.00000,0.00624
9.19000,0.00000,0.00645
9.29000,0.00000,0.00665
9.39000,0.00000,0.00684
9.50000,0.00000,0.00700
9.60000,0.00000,0.00715
9.70000,0.00000,0.00726
9.80000,0.00000,0.00733
9.90000,0.00000,0.00737
0.00000,0.10000,0.00352
0.10000,0.10000,0.00354
0.20000,0.10000,0.00357
0.30000,0.10000,0.00362
0.40000,0.10000,0.00368
0.50000,0.10000,0.00375
0.60000,0.10000,0.00384
0.70000,0.10000,0.00393
0.80000,0.10000,0.00402
0.90000,0.10000,0.00412
1.00000,0.10000,0.00422
1.10000,0.10000,0.00431
1.20000,0.10000,0.00441
1.30000,0.10000,0.00449
1.40000,0.10000,0.00457
1.50000,0.10000,0.00464
1.60000,0.10000,0.00470
1.70000,0.10000,0.00475
1.80000,0.10000,0.00479
1.90000,0.10000,0.00481
2.00000,0.10000,0.00483
2.10000,0.10000,0.00484
2.20000,0.10000,0.00484
2.30000,0.10000,0.00483
2.39000,0.10000,0.00481
2.49000,0.10000,0.00479
2.59000,0.10000,0.00476
2.69000,0.10000,0.00473
2.79000,0.10000,0.00470
2.89000,0.10000,0.00466
2.99000,0.10000,0.00462
3.09000,0.10000,0.00458
3.19000,0.10000,0.00453
3.29000,0.10000,0.00449
