x,y,value
0.00000,0.00000,0.04585
0.10000,0.00000,0.04585
0.20000,0.00000,0.04587
0.30000,0.00000,0.04588
0.40000,0.00000,0.04590
0.50000,0.00000,0.04592
0.60000,0.00000,0.04593
0.70000,0.00000,0.04594
0.80000,0.00000,0.04593
0.90000,0.00000,0.04592
1.00000,0.00000,0.04588
1.10000,0.00000,0.04582
1.20000,0.00000,0.04573
1.30000,0.00000,0.04561
1.40000,0.00000,0.04546
1.50000,0.00000,0.04526
1.60000,0.00000,0.04503
1.70000,0.00000,0.04475
1.80000,0.00000,0.04442
1.90000,0.00000,0.04404
2.00000,0.00000,0.04362
2.10000,0.00000,0.04314
2.20000,0.00000,0.04262
2.30000,0.00000,0.04206
2.39000,0.00000,0.04145
2.49000,0.00000,0.04080
2.59000,0.00000,0.04011
2.69000,0.00000,0.03939
2.79000,0.00000,0.03864
2.89000,0.00000,0.03786
2.99000,0.00000,0.03708
3.09000,0.00000,0.03627
3.19000,0.00000,0.03547
3.29000,0.00000,0.03466
3.39000,0.00000,0.03387
3.49000,0.00000,0.03308
3.59000,0.00000,0.03232
3.69000,0.00000,0.03158
3.79000,0.00000,0.03087
3.89000,0.00000,0.03019
3.99000,0.00000,0.02956
4.09000,0.00000,0.02897
4.19000,0.00000,0.02842
4.29000,0.00000,0.02793
4.39000,0.00000,0.02749
4.49000,0.00000,0.02710
4.59000,0.00000,0.02677
4.69000,0.00000,0.02650
4.79000,0.00000,0.02628
4.89000,0.00000,0.02612
4.99000,0.00000,0.02602
5.09000,0.00000,0.02598
5.19000,0.00000,0.02600
5.29000,0.00000,0.02608
5.39000,0.00000,0.02621
5.49000,0.00000,0.02640
5.59000,0.00000,0.02665
5.69000,0.00000,0.02694
5.79000,0.00000,0.02727
5.89000,0.00000,0.02765
5.99000,0.00000,0.02807
6.09000,0.00000,0.02853
6.19000,0.00000,0.02902
6.29000,0.00000,0.02953
6.39000,0.00000,0.03008
6.49000,0.00000,0.03064
6.59000,0.00000,0.03123
6.69000,0.00000,0.03183
6.79000,0.00000,0.03245
6.89000,0.00000,0.03308
6.99000,0.00000,0.03372
7.09000,0.00000,0.03436
7.19000,0.00000,0.03501
7.29000,0.00000,0.03566
7.39000,0.00000,0.03630
7.49000,0.00000,0.03694
7.59000,0.00000,0.03758
7.69000,0.00000,0.03821
7.79000,0.00000,0.03883
7.89000,0.00000,0.03943
7.99000,0.00000,0.04003
8.09000,0.00000,0.04060
8.19000,0.00000,0.04116
8.29000,0.00000,0.04169
8.39000,0.00000,0.04220
8.49000,0.00000,0.04269
8.59000,0.00000,0.04316
8.69000,0.00000,0.04359
8.79000,0.00000,0.04400
8.89000,0.00000,0.04438
8.99000,0.00000,0.04472
9.09000,0.00000,0.04504
9.19000,0.00000,0.04532
9.29000,0.00000,0.04557
9.39000,0.00000,0.04578
9.50000,0.00000,0.04596
9.60000,0.00000,0.04610
9.70000,0.00000,0.04621
9.80000,0.00000,0.04628
9.90000,0.00000,0.04632
0.00000,0.10000,0.04587
0.10000,0.10000,0.04587
0.20000,0.10000,0.04588
0.30000,0.10000,0.04590
0.40000,0.10000,0.04592
0.50000,0.10000,0.04593
0.60000,0.10000,0.04595
0.70000,0.10000,0.04596
0.80000,0.10000,0.04595
0.90000,0.10000,0.04594
1.00000,0.10000,0.04590
1.10000,0.10000,0.04584
1.20000,0.10000,0.04575
1.30000,0.10000,0.04563
1.40000,0.10000,0.04548
1.50000,0.10000,0.04528
1.60000,0.10000,0.04505
1.70000,0.10000,0.04477
1.80000,0.10000,0.04444
1.90000,0.10000,0.04406
2.00000,0.10000,0.04364
2.10000,0.10000,0.04317
2.20000,0.10000,0.04265
2.30000,0.10000,0.04208
2.39000,0.10000,0.04147
2.49000,0.10000,0.04082
2.59000,0.10000,0.04013
2.69000,0.10000,0.03941
2.79000,0.10000,0.03866
2.89000,0.10000,0.03789
2.99000,0.10000,0.03710
3.09000,0.10000,0.03630
3.19000,0.10000,0.03550
3.29000,0.10000,0.03469
3.39000,0.10000,0.03390
3.49000,0.10000,0.03311
3.59000,0.10000,0.03235
3.69000,0.10000,0.03161
3.79000,0.10000,0.03090
3.89000,0.10000,0.03022
3.99000,0.10000,0.02959
4.09000,0.10000,0.02899
4.19000,0.10000,0.02845
4.29000,0.10000,0.02795
4.39000,0.10000,0.02751
4.49000,0.10000,0.02713
4.59000,0.10000,0.02679
4.69000,0.10000,0.02652
4.79000,0.10000,0.02630
4.89000,0.10000,0.02614
4.99000,0.10000,0.02604
5.09000,0.10000,0.02599
5.19000,0.10000,0.02601
5.29000,0.10000,0.02609
5.39000,0.10000,0.02622
5.49000,0.10000,0.02641
5.59000,0.10000,0.02665
5.69000,0.10000,0.02694
5.79000,0.10000,0.02728
5.89000,0.10000,0.02765
5.99000,0.10000,0.02807
6.09000,0.10000,0.02852
6.19000,0.10000,0.02901
6.29000,0.10000,0.02952
6.39000,0.10000,0.03007
6.49000,0.10000,0.03063
6.59000,0.10000,0.03121
6.69000,0.10000,0.03182
6.79000,0.10000,0.03243
6.89000,0.10000,0.03306
6.99000,0.10000,0.03369
7.09000,0.10000,0.03434
7.19000,0.10000,0.03498
7.29000,0.10000,0.03563
7.39000,0.10000,0.03627
7.49000,0.10000,0.03691
7.59000,0.10000,0.03755
7.69000,0.10000,0.03818
7.79000,0.10000,0.03879
7.89000,0.10000,0.03940
7.99000,0.10000,0.03999
8.09000,0.10000,0.04056
8.19000,0.10000,0.04111
