x,y,value
0.00000,0.00000,0.01123
0.10000,0.00000,0.01124
0.20000,0.00000,0.01128
0.30000,0.00000,0.01132
0.40000,0.00000,0.01138
0.50000,0.00000,0.01146
0.60000,0.00000,0.01154
0.70000,0.00000,0.01164
0.80000,0.00000,0.01174
0.90000,0.00000,0.01185
1.00000,0.00000,0.01196
1.10000,0.00000,0.01208
1.20000,0.00000,0.01220
1.30000,0.00000,0.01231
1.40000,0.00000,0.01243
1.50000,0.00000,0.01253
1.60000,0.00000,0.01263
1.70000,0.00000,0.01273
1.80000,0.00000,0.01281
1.90000,0.00000,0.01288
2.00000,0.00000,0.01294
2.10000,0.00000,0.01299
2.20000,0.00000,0.01303
2.30000,0.00000,0.01306
2.39000,0.00000,0.01307
2.49000,0.00000,0.01308
2.59000,0.00000,0.01307
2.69000,0.00000,0.01305
2.79000,0.00000,0.01303
2.89000,0.00000,0.01299
2.99000,0.00000,0.01295
3.09000,0.00000,0.01290
3.19000,0.00000,0.01285
3.29000,0.00000,0.01280
3.39000,0.00000,0.01274
3.49000,0.00000,0.01268
3.59000,0.00000,0.01262
3.69000,0.00000,0.01255
3.79000,0.00000,0.01249
3.89000,0.00000,0.01243
3.99000,0.00000,0.01237
4.09000,0.00000,0.01232
4.19000,0.00000,0.01226
4.29000,0.00000,0.01221
4.39000,0.00000,0.01216
4.49000,0.00000,0.01211
4.59000,0.00000,0.01207
4.69000,0.00000,0.01202
4.79000,0.00000,0.01196
4.89000,0.00000,0.01190
4.99000,0.00000,0.01182
5.09000,0.00000,0.01177
5.19000,0.00000,0.01173
5.29000,0.00000,0.01171
5.39000,0.00000,0.01169
5.49000,0.00000,0.01167
5.59000,0.00000,0.01166
5.69000,0.00000,0.01165
5.79000,0.00000,0.01165
5.89000,0.00000,0.01165
5.99000,0.00000,0.01165
6.09000,0.00000,0.01166
6.19000,0.00000,0.01168
6.29000,0.00000,0.01169
6.39000,0.00000,0.01172
6.49000,0.00000,0.01175
6.59000,0.00000,0.01178
6.69000,0.00000,0.01183
6.79000,0.00000,0.01188
6.89000,0.00000,0.01194
6.99000,0.00000,0.01200
7.09000,0.00000,0.01208
7.19000,0.00000,0.01217
7.29000,0.00000,0.01227
7.39000,0.00000,0.01238
7.49000,0.00000,0.01250
7.59000,0.00000,0.01263
7.69000,0.00000,0.01277
7.79000,0.00000,0.01292
7.89000,0.00000,0.01309
7.99000,0.00000,0.01326
8.09000,0.00000,0.01345
8.19000,0.00000,0.01364
8.29000,0.00000,0.01383
8.39000,0.00000,0.01403
8.49000,0.00000,0.01424
8.59000,0.00000,0.01445
8.69000,0.00000,0.01465
8.79000,0.00000,0.01485
8.89000,0.00000,0.01505
8.99000,0.00000,0.01524
9.09000,0.00000,0.01542
9.19000,0.00000,0.01558
9.29000,0.00000,0.01574
9.39000,0.00000,0.01587
9.50000,0.00000,0.01598
9.60000,0.00000,0.01608
9.70000,0.00000,0.01615
9.80000,0.00000,0.01620
9.90000,0.00000,0.01622
0.00000,0.10000,0.01122
0.10000,0.10000,0.01124
0.20000,0.10000,0.01127
0.30000,0.10000,0.01132
0.40000,0.10000,0.01138
0.50000,0.10000,0.01145
0.60000,0.10000,0.01154
0.70000,0.10000,0.01163
0.80000,0.10000,0.01174
0.90000,0.10000,0.01185
1.00000,0.10000,0.01196
1.10000,0.10000,0.01208
1.20000,0.10000,0.01220
1.30000,0.10000,0.01231
1.40000,0.10000,0.01242
1.50000,0.10000,0.01253
1.60000,0.10000,0.01263
1.70000,0.10000,0.01272
1.80000,0.10000,0.01281
1.90000,0.10000,0.01288
2.00000,0.10000,0.01294
2.10000,0.10000,0.01299
2.20000,0.10000,0.01303
2.30000,0.10000,0.01305
2.39000,0.10000,0.01307
2.49000,0.10000,0.01307
2.59000,0.10000,0.01306
2.69000,0.10000,0.01305
2.79000,0.10000,0.01302
2.89000,0.10000,0.01299
2.99000,0.10000,0.01295
3.09000,0.10000,0.01290
3.19000,0.10000,0.01285
3.29000,0.10000,0.01279
3.39000,0.10000,0.01273
3.49000,0.10000,0.01267
3.59000,0.10000,0.01261
3.69000,0.10000,0.01255
3.79000,0.10000,0.01248
3.89000,0.10000,0.01242
3.99000,0.10000,0.01236
4.09000,0.10000,0.01231
4.19000,0.10000,0.01225
4.29000,0.10000,0.01220
4.39000,0.10000,0.01215
4.49000,0.10000,0.01210
4.59000,0.10000,0.01205
4.69000,0.10000,0.01200
4.79000,0.10000,0.01195
4.89000,0.10000,0.01189
4.99000,0.10000,0.01180
5.09000,0.10000,0.01175
5.19000,0.10000,0.01172
5.29000,0.10000,0.01169
5.39000,0.10000,0.01167
5.49000,0.10000,0.01166
5.59000,0.10000,0.01164
5.69000,0.10000,0.01164
5.79000,0.10000,0.01163
5.89000,0.10000,0.01163
5.99000,0.10000,0.01164
6.09000,0.10000,0.01165
6.19000,0.10000,0.01166
6.29000,0.10000,0.01168
6.39000,0.10000,0.01170
6.49000,0.10000,0.01173
6.59000,0.10000,0.01177
6.69000,0.10000,0.01181
6.79000,0.10000,0.01186
6.89000,0.10000,0.01192
6.99000,0.10000,0.01199
7.09000,0.10000,0.01207
7.19000,0.10000,0.01216
7.29000,0.10000,0.01225
7.39000,0.10000,0.01236
7.49000,0.10000,0.01248
7.59000,0.10000,0.01262
7.69000,0.10000,0.01276
7.79000,0.10000,0.01291
7.89000,0.10000,0.01308
7.99000,0.10000,0.01325
8.09000,0.10000,0.01343
8.19000,0.10000,0.01363
8.29000,0.10000,0.01382
8.39000,0.10000,0.01402
8.49000,0.10000,0.01423
8.59000,0.10000,0.01444
8.69000,0.10000,0.01464
8.79000,0.10000,0.01485
8.89000,0.10000,0.01504
8.99000,0.10000,0.01523
9.09000,0.10000,0.01541
9.19000,0.10000,0.01558
9.29000,0.10000,0.01573
9.39000,0.10000,0.01586
9.50000,0.10000,0.01598
9.60000,0.10000,0.01607
9.70000,0.10000,0.01614
9.80000,0.10000,0.01619
9.90000,0.10000,0.01622
0.00000,0.20000,0.01121
0.10000,0.20000,0.01123
0.20000,0.20000,0.01126
0.30000,0.20000,0.01131
0.40000,0.20000,0.01137
0.50000,0.20000,0.01144
