x,y,value
0.00000,0.00000,0.06296
0.10000,0.00000,0.06294
0.20000,0.00000,0.06290
0.30000,0.00000,0.06284
0.40000,0.00000,0.06276
0.50000,0.00000,0.06267
0.60000,0.00000,0.06255
0.70000,0.00000,0.06242
0.80000,0.00000,0.06227
0.90000,0.00000,0.06210
1.00000,0.00000,0.06193
1.10000,0.00000,0.06173
1.20000,0.00000,0.06153
1.30000,0.00000,0.06132
1.40000,0.00000,0.06110
1.50000,0.00000,0.06087
1.60000,0.00000,0.06063
1.70000,0.00000,0.06039
1.80000,0.00000,0.06015
1.90000,0.00000,0.05990
2.00000,0.00000,0.05965
2.10000,0.00000,0.05941
2.20000,0.00000,0.05916
2.30000,0.00000,0.05892
2.39000,0.00000,0.05869
2.49000,0.00000,0.05846
2.59000,0.00000,0.05824
2.69000,0.00000,0.05802
2.79000,0.00000,0.05782
2.89000,0.00000,0.05762
2.99000,0.00000,0.05744
3.09000,0.00000,0.05727
3.19000,0.00000,0.05711
3.29000,0.00000,0.05697
3.39000,0.00000,0.05683
3.49000,0.00000,0.05668
3.59000,0.00000,0.05652
3.69000,0.00000,0.05628
3.79000,0.00000,0.05591
3.89000,0.00000,0.05532
3.99000,0.00000,0.05442
4.09000,0.00000,0.05316
4.19000,0.00000,0.05154
4.29000,0.00000,0.04954
4.39000,0.00000,0.04718
4.49000,0.00000,0.04450
4.59000,0.00000,0.04151
4.69000,0.00000,0.03826
4.79000,0.00000,0.03478
4.89000,0.00000,0.03110
4.99000,0.00000,0.02726
5.09000,0.00000,0.02721
5.19000,0.00000,0.02712
5.29000,0.00000,0.02702
5.39000,0.00000,0.02690
5.49000,0.00000,0.02678
5.59000,0.00000,0.02664
5.69000,0.00000,0.02650
5.79000,0.00000,0.02633
5.89000,0.00000,0.02615
5.99000,0.00000,0.02595
6.09000,0.00000,0.02573
6.19000,0.00000,0.02549
6.29000,0.00000,0.02523
6.39000,0.00000,0.02495
6.49000,0.00000,0.02464
6.59000,0.00000,0.02432
6.69000,0.00000,0.02397
6.79000,0.00000,0.02361
6.89000,0.00000,0.02323
6.99000,0.00000,0.02283
7.09000,0.00000,0.02241
7.19000,0.00000,0.02199
7.29000,0.00000,0.02155
7.39000,0.00000,0.02110
7.49000,0.00000,0.02064
7.59000,0.00000,0.02017
7.69000,0.00000,0.01971
7.79000,0.00000,0.01924
7.89000,0.00000,0.01877
7.99000,0.00000,0.01830
8.09000,0.00000,0.01784
8.19000,0.00000,0.01739
8.29000,0.00000,0.01694
8.39000,0.00000,0.01651
8.49000,0.00000,0.01610
8.59000,0.00000,0.01570
8.69000,0.00000,0.01531
8.79000,0.00000,0.01495
8.89000,0.00000,0.01462
8.99000,0.00000,0.01430
9.09000,0.00000,0.01402
9.19000,0.00000,0.01376
9.29000,0.00000,0.01353
9.39000,0.00000,0.01333
9.50000,0.00000,0.01316
9.60000,0.00000,0.01303
9.70000,0.00000,0.01292
9.80000,0.00000,0.01286
9.90000,0.00000,0.01282
0.00000,0.10000,0.06292
0.10000,0.10000,0.06290
0.20000,0.10000,0.06286
0.30000,0.10000,0.06280
0.40000,0.10000,0.06272
0.50000,0.10000,0.06262
0.60000,0.10000,0.06250
0.70000,0.10000,0.06237
0.80000,0.10000,0.06222
0.90000,0.10000,0.06206
1.00000,0.10000,0.06188
1.10000,0.10000,0.06169
1.20000,0.10000,0.06149
1.30000,0.10000,0.06128
1.40000,0.10000,0.06106
1.50000,0.10000,0.06083
1.60000,0.10000,0.06059
1.70000,0.10000,0.06035
1.80000,0.10000,0.06011
1.90000,0.10000,0.05987
2.00000,0.10000,0.05962
2.10000,0.10000,0.05938
2.20000,0.10000,0.05913
2.30000,0.10000,0.05890
2.39000,0.10000,0.05866
2.49000,0.10000,0.05843
2.59000,0.10000,0.05821
2.69000,0.10000,0.05800
2.79000,0.10000,0.05779
2.89000,0.10000,0.05760
2.99000,0.10000,0.05742
3.09000,0.10000,0.05725
3.19000,0.10000,0.05709
3.29000,0.10000,0.05695
3.39000,0.10000,0.05681
3.49000,0.10000,0.05666
3.59000,0.10000,0.05650
3.69000,0.10000,0.05627
3.79000,0.10000,0.05589
3.89000,0.10000,0.05530
3.99000,0.10000,0.05440
4.09000,0.10000,0.05314
4.19000,0.10000,0.05152
4.29000,0.10000,0.04952
4.39000,0.10000,0.04716
4.49000,0.10000,0.04448
4.59000,0.10000,0.04150
4.69000,0.10000,0.03824
4.79000,0.10000,0.03476
4.89000,0.10000,0.03108
4.99000,0.10000,0.02724
5.09000,0.10000,0.02719
5.19000,0.10000,0.02711
5.29000,0.10000,0.02700
5.39000,0.10000,0.02689
5.49000,0.10000,0.02676
5.59000,0.10000,0.02663
5.69000,0.10000,0.02648
5.79000,0.10000,0.02632
5.89000,0.10000,0.02613
5.99000,0.10000,0.02593
6.09000,0.10000,0.02571
6.19000,0.10000,0.02547
6.29000,0.10000,0.02521
6.39000,0.10000,0.02493
6.49000,0.10000,0.02462
6.59000,0.10000,0.02430
6.69000,0.10000,0.02396
6.79000,0.10000,0.02359
6.89000,0.10000,0.02321
6.99000,0.10000,0.02281
7.09000,0.10000,0.02240
7.19000,0.10000,0.02197
7.29000,0.10000,0.02154
7.39000,0.10000,0.02109
7.49000,0.10000,0.02063
7.59000,0.10000,0.02017
7.69000,0.10000,0.01970
7.79000,0.10000,0.01923
7.89000,0.10000,0.01877
7.99000,0.10000,0.01830
8.09000,0.10000,0.01784
8.19000,0.10000,0.01739
8.29000,0.10000,0.01695
8.39000,0.10000,0.01652
8.49000,0.10000,0.01610
8.59000,0.10000,0.01571
8.69000,0.10000,0.01533
8.79000,0.10000,0.01497
8.89000,0.10000,0.01463
8.99000,0.10000,0.01432
9.09000,0.10000,0.01403
9.19000,0.10000,0.01378
9.29000,0.10000,0.01355
9.39000,0.10000,0.01335
9.50000,0.10000,0.01318
9.60000,0.10000,0.01305
9.70000,0.10000,0.01294
9.80000,0.10000,0.01288
9.90000,0.10000,0.01284
0.00000,0.20000,0.06282
0.10000,0.20000,0.06280
0.20000,0.20000,0.06276
0.30000,0.20000,0.06270
0.40000,0.20000,0.06262
0.50000,0.20000,0.06253
0.60000,0.20000,0.06241
0.70000,0.20000,0.06228
0.80000,0.20000,0.06213
0.90000,0.20000,0.06197
1.00000,0.20000,0.06180
1.10000,0.20000,0.06161
1.20000,0.20000,0.06141
1.30000,0.20000,0.06120
1.40000,0.20000,0.06098
1.50000,0.20000,0.06075
1.60000,0.20000,0.06052
1.70000,0.20000,0.06028
