x,y,value
0.00000,0.00000,0.93311
0.10000,0.00000,0.93313
0.20000,0.00000,0.93318
0.30000,0.00000,0.93324
0.40000,0.00000,0.93332
0.50000,0.00000,0.93342
0.60000,0.00000,0.93353
0.70000,0.00000,0.93367
0.80000,0.00000,0.93382
0.90000,0.00000,0.93399
1.00000,0.00000,0.93417
1.10000,0.00000,0.93436
1.20000,0.00000,0.93457
1.30000,0.00000,0.93479
1.40000,0.00000,0.93501
1.50000,0.00000,0.93524
1.60000,0.00000,0.93548
1.70000,0.00000,0.93572
1.80000,0.00000,0.93597
1.90000,0.00000,0.93621
2.00000,0.00000,0.93646
2.10000,0.00000,0.93670
2.20000,0.00000,0.93694
2.30000,0.00000,0.93717
2.39000,0.00000,0.93739
2.49000,0.00000,0.93761
2.59000,0.00000,0.93781
2.69000,0.00000,0.93799
2.79000,0.00000,0.93815
2.89000,0.00000,0.93829
2.99000,0.00000,0.93840
3.09000,0.00000,0.93845
3.19000,0.00000,0.93844
3.29000,0.00000,0.93830
3.39000,0.00000,0.93793
3.49000,0.00000,0.93700
3.59000,0.00000,0.93451
3.69000,0.00000,0.92817
3.79000,0.00000,0.91499
3.89000,0.00000,0.89342
3.99000,0.00000,0.86333
4.09000,0.00000,0.82514
4.19000,0.00000,0.77945
4.29000,0.00000,0.72695
4.39000,0.00000,0.66843
4.49000,0.00000,0.60474
4.59000,0.00000,0.53682
4.69000,0.00000,0.46565
4.79000,0.00000,0.39226
4.89000,0.00000,0.31770
4.99000,0.00000,0.24307
5.09000,0.00000,0.24308
5.19000,0.00000,0.24309
5.29000,0.00000,0.24310
5.39000,0.00000,0.24312
5.49000,0.00000,0.24314
5.59000,0.00000,0.24317
5.69000,0.00000,0.24320
5.79000,0.00000,0.24323
5.89000,0.00000,0.24327
5.99000,0.00000,0.24332
6.09000,0.00000,0.24337
6.19000,0.00000,0.24343
6.29000,0.00000,0.24350
6.39000,0.00000,0.24357
6.49000,0.00000,0.24364
6.59000,0.00000,0.24373
6.69000,0.00000,0.24381
6.79000,0.00000,0.24390
6.89000,0.00000,0.24400
6.99000,0.00000,0.24410
7.09000,0.00000,0.24421
