,time,N,TD,CH,MREG,AC
0,0.00000,0.00000,10.00000,0.00000,0.00000,0.00000
1,0.01000,0.01499,10.00001,0.00001,0.00001,0.00000
2,0.02000,0.02994,10.00006,0.00004,0.00003,0.00000
3,0.03000,0.04487,10.00013,0.00010,0.00007,0.00000
4,0.04000,0.05976,10.00024,0.00018,0.00012,0.00000
5,0.05000,0.07463,10.00037,0.00028,0.00019,0.00000
6,0.06000,0.08947,10.00053,0.00040,0.00027,0.00000
7,0.07000,0.10427,10.00072,0.00055,0.00036,0.00000
8,0.08000,0.11905,10.00094,0.00072,0.00047,0.00000
9,0.09000,0.13380,10.00119,0.00090,0.00060,0.00000
10,0.10000,0.14852,10.00147,0.00112,0.00074,0.00000
11,0.11000,0.16322,10.00177,0.00135,0.00089,0.00000
12,0.12000,0.17788,10.00210,0.00160,0.00106,0.00000
13,0.13000,0.19252,10.00246,0.00188,0.00125,0.00001
14,0.14000,0.20713,10.00285,0.00218,0.00144,0.00001
15,0.15000,0.22171,10.00326,0.00250,0.00165,0.00001
16,0.16000,0.23626,10.00370,0.00284,0.00188,0.00001
17,0.17000,0.25079,10.00417,0.00321,0.00212,0.00001
18,0.18000,0.26528,10.00466,0.00359,0.00237,0.00001
19,0.19000,0.27975,10.00518,0.00400,0.00264,0.00002
20,0.20000,0.29420,10.00573,0.00443,0.00292,0.00002
21,0.21000,0.30861,10.00630,0.00488,0.00322,0.00002
22,0.22000,0.32300,10.00690,0.00535,0.00353,0.00003
23,0.23000,0.33736,10.00752,0.00584,0.00385,0.00003
24,0.24000,0.35170,10.00817,0.00635,0.00419,0.00003
25,0.25000,0.36600,10.00884,0.00689,0.00454,0.00004
26,0.26000,0.38029,10.00954,0.00744,0.00490,0.00004
27,0.27000,0.39454,10.01027,0.00802,0.00528,0.00005
28,0.28000,0.40877,10.01101,0.00862,0.00567,0.00005
29,0.29000,0.42297,10.01179,0.00924,0.00607,0.00006
30,0.30000,0.43715,10.01258,0.00988,0.00649,0.00006
31,0.31000,0.45130,10.01341,0.01054,0.00692,0.00007
32,0.32000,0.46543,10.01425,0.01122,0.00736,0.00008
33,0.33000,0.47953,10.01512,0.01193,0.00782,0.00008
34,0.34000,0.49360,10.01601,0.01265,0.00829,0.00009
35,0.35000,0.50765,10.01693,0.01339,0.00878,0.00010
36,0.36000,0.52168,10.01787,0.01416,0.00927,0.00011
37,0.37000,0.53568,10.01883,0.01495,0.00978,0.00012
38,0.38000,0.54965,10.01981,0.01575,0.01030,0.00013
39,0.39000,0.56360,10.02082,0.01658,0.01084,0.00014
40,0.40000,0.57753,10.02185,0.01743,0.01139,0.00015
41,0.41000,0.59143,10.02290,0.01829,0.01195,0.00016
42,0.42000,0.60530,10.02398,0.01918,0.01252,0.00017
43,0.43000,0.61915,10.02507,0.02009,0.01311,0.00018
44,0.44000,0.63298,10.02619,0.02102,0.01371,0.00020
45,0.45000,0.64678,10.02733,0.02197,0.01432,0.00021
46,0.46000,0.66056,10.02849,0.02294,0.01494,0.00022
47,0.47000,0.67432,10.02967,0.02393,0.01558,0.00024
48,0.48000,0.68805,10.03087,0.02494,0.01623,0.00025
49,0.49000,0.70176,10.03210,0.02596,0.01689,0.00027
50,0.50000,0.71544,10.03334,0.02701,0.01757,0.00029
51,0.51000,0.72911,10.03461,0.02808,0.01825,0.00030
52,0.52000,0.74274,10.03589,0.02917,0.01895,0.00032
53,0.53000,0.75636,10.03720,0.03028,0.01966,0.00034
54,0.54000,0.76995,10.03852,0.03141,0.02039,0.00036
55,0.55000,0.78352,10.03987,0.03256,0.02112,0.00038
56,0.56000,0.79707,10.04123,0.03373,0.02187,0.00040
57,0.57000,0.81059,10.04262,0.03492,0.02263,0.00042
58,0.58000,0.82409,10.04402,0.03613,0.02340,0.00044
59,0.59000,0.83757,10.04544,0.03735,0.02418,0.00046
60,0.60000,0.85103,10.04689,0.03860,0.02498,0.00049
61,0.61000,0.86446,10.04835,0.03987,0.02578,0.00051
62,0.62000,0.87787,10.04983,0.04115,0.02660,0.00054
63,0.63000,0.89126,10.05132,0.04246,0.02743,0.00056
64,0.64000,0.90463,10.05284,0.04378,0.02828,0.00059
65,0.65000,0.91798,10.05437,0.04513,0.02913,0.00061
66,0.66000,0.93130,10.05592,0.04649,0.03000,0.00064
67,0.67000,0.94461,10.05749,0.04787,0.03087,0.00067
68,0.68000,0.95789,10.05908,0.04928,0.03176,0.00070
69,0.69000,0.97115,10.06069,0.05070,0.03266,0.00073
70,0.70000,0.98439,10.06231,0.05214,0.03357,0.00076
71,0.71000,0.99761,10.06395,0.05360,0.03450,0.00079
72,0.72000,1.01081,10.06561,0.05508,0.03543,0.00082
73,0.73000,1.02398,10.06728,0.05657,0.03638,0.00086
74,0.74000,1.03714,10.06897,0.05809,0.03733,0.00089
75,0.75000,1.05027,10.07068,0.05963,0.03830,0.00093
76,0.76000,1.06339,10.07240,0.06118,0.03928,0.00096
77,0.77000,1.07648,10.07414,0.06275,0.04027,0.00100
78,0.78000,1.08955,10.07589,0.06435,0.04127,0.00104
79,0.79000,1.10261,10.07766,0.06596,0.04228,0.00108
80,0.80000,1.11564,10.07945,0.06759,0.04331,0.00112
81,0.81000,1.12865,10.08125,0.06923,0.04434,0.00116
82,0.82000,1.14165,10.08307,0.07090,0.04539,0.00120
83,0.83000,1.15462,10.08491,0.07259,0.04644,0.00124
84,0.84000,1.16757,10.08675,0.07429,0.04751,0.00128
85,0.85000,1.18051,10.08862,0.07601,0.04859,0.00133
86,0.86000,1.19342,10.09050,0.07775,0.04968,0.00137
87,0.87000,1.20632,10.09239,0.07951,0.05078,0.00142
88,0.88000,1.21919,10.09430,0.08129,0.05189,0.00147
89,0.89000,1.23205,10.09622,0.08309,0.05301,0.00151
90,0.90000,1.24488,10.09815,0.08490,0.05414,0.00156
91,0.91000,1.25770,10.10010,0.08673,0.05528,0.00161
92,0.92000,1.27050,10.10207,0.08858,0.05643,0.00166
93,0.93000,1.28328,10.10404,0.09045,0.05760,0.00171
94,0.94000,1.29604,10.10604,0.09234,0.05877,0.00177
95,0.95000,1.30878,10.10804,0.09424,0.05995,0.00182
96,0.96000,1.32151,10.11006,0.09617,0.06115,0.00188
97,0.97000,1.33421,10.11209,0.09811,0.06235,0.00193
98,0.98000,1.34690,10.11414,0.10007,0.06357,0.00199
99,0.99000,1.35957,10.11619,0.10205,0.06479,0.00205
100,1.00000,1.37222,10.11826,0.10404,0.06603,0.00211
101,1.01000,1.38485,10.12035,0.10605,0.06727,0.00217
102,1.02000,1.39746,10.12244,0.10808,0.06853,0.00223
103,1.03000,1.41006,10.12455,0.11013,0.06979,0.00229
104,1.04000,1.42263,10.12667,0.11220,0.07107,0.00235
105,1.05000,1.43519,10.12880,0.11428,0.07235,0.00242
106,1.06000,1.44774,10.13094,0.11639,0.07365,0.00248
107,1.07000,1.46026,10.13310,0.11851,0.07495,0.00255
108,1.08000,1.47277,10.13526,0.12064,0.07627,0.00262
109,1.09000,1.48526,10.13744,0.12280,0.07760,0.00269
110,1.10000,1.49773,10.13963,0.12497,0.07893,0.00276
111,1.11000,1.51019,10.14183,0.12716,0.08027,0.00283
112,1.12000,1.52262,10.14404,0.12937,0.08163,0.00290
113,1.13000,1.53504,10.14627,0.13159,0.08299,0.00298
114,1.14000,1.54745,10.14850,0.13383,0.08437,0.00305
115,1.15000,1.55983,10.15074,0.13609,0.08575,0.00313
116,1.16000,1.57220,10.15300,0.13837,0.08714,0.00320
117,1.17000,1.58456,10.15526,0.14066,0.08855,0.00328
118,1.18000,1.59689,10.15754,0.14297,0.08996,0.00336
119,1.19000,1.60921,10.15982,0.14530,0.09138,0.00344
120,1.20000,1.62152,10.16212,0.14765,0.09281,0.00352
121,1.21000,1.63380,10.16442,0.15001,0.09425,0.00361
122,1.22000,1.64607,10.16674,0.15239,0.09570,0.00369
123,1.23000,1.65833,10.16906,0.15479,0.09716,0.00377
124,1.24000,1.67056,10.17139,0.15720,0.09863,0.00386
125,1.25000,1.68279,10.17374,0.15963,0.10011,0.00395
126,1.26000,1.69499,10.17609,0.16208,0.10160,0.00404
127,1.27000,1.70718,10.17845,0.16455,0.10309,0.00413
128,1.28000,1.71936,10.18082,0.16703,0.10460,0.00422
129,1.29000,1.73151,10.18320,0.16953,0.10611,0.00431
130,1.30000,1.74366,10.18558,0.17204,0.10764,0.00441
131,1.31000,1.75578,10.18798,0.17457,0.10917,0.00450
132,1.32000,1.76789,10.19038,0.17712,0.11071,0.00460
133,1.33000,1.77999,10.19279,0.17969,0.11226,0.00469
134,1.34000,1.79207,10.19521,0.18227,0.11382,0.00479
135,1.35000,1.80413,10.19764,0.18487,0.11539,0.00489
136,1.36000,1.81618,10.20008,0.18748,0.11697,0.00499
137,1.37000,1.82822,10.20252,0.19012,0.11856,0.00510
