,time,N,TD,CH
0,0.00000,0.00000,10.00000,0.00000
1,0.01000,0.01000,10.00000,0.00000
2,0.02000,0.01998,10.00002,0.00002
3,0.03000,0.02996,10.00004,0.00004
4,0.04000,0.03992,10.00008,0.00008
5,0.05000,0.04988,10.00012,0.00012
6,0.06000,0.05982,10.00018,0.00018
7,0.07000,0.06976,10.00024,0.00024
8,0.08000,0.07968,10.00032,0.00032
9,0.09000,0.08960,10.00040,0.00040
10,0.10000,0.09950,10.00050,0.00050
11,0.11000,0.10940,10.00060,0.00060
12,0.12000,0.11929,10.00072,0.00071
13,0.13000,0.12917,10.00084,0.00084
14,0.14000,0.13903,10.00098,0.00097
15,0.15000,0.14889,10.00112,0.00111
16,0.16000,0.15874,10.00127,0.00127
17,0.17000,0.16858,10.00144,0.00143
18,0.18000,0.17841,10.00161,0.00160
19,0.19000,0.18823,10.00179,0.00178
20,0.20000,0.19804,10.00199,0.00197
21,0.21000,0.20784,10.00219,0.00217
22,0.22000,0.21763,10.00240,0.00238
23,0.23000,0.22742,10.00263,0.00261
24,0.24000,0.23719,10.00286,0.00283
25,0.25000,0.24695,10.00310,0.00307
26,0.26000,0.25671,10.00335,0.00332
27,0.27000,0.26645,10.00361,0.00358
28,0.28000,0.27619,10.00388,0.00385
29,0.29000,0.28592,10.00417,0.00413
30,0.30000,0.29563,10.00446,0.00441
31,0.31000,0.30534,10.00476,0.00471
32,0.32000,0.31504,10.00507,0.00501
33,0.33000,0.32473,10.00539,0.00533
34,0.34000,0.33441,10.00572,0.00565
35,0.35000,0.34409,10.00606,0.00599
36,0.36000,0.35375,10.00640,0.00633
37,0.37000,0.36340,10.00676,0.00668
38,0.38000,0.37305,10.00713,0.00704
39,0.39000,0.38269,10.00751,0.00741
40,0.40000,0.39231,10.00790,0.00779
41,0.41000,0.40193,10.00829,0.00818
42,0.42000,0.41154,10.00870,0.00858
43,0.43000,0.42114,10.00912,0.00899
44,0.44000,0.43074,10.00954,0.00940
45,0.45000,0.44032,10.00998,0.00983
46,0.46000,0.44990,10.01042,0.01026
47,0.47000,0.45946,10.01088,0.01071
48,0.48000,0.46902,10.01134,0.01116
49,0.49000,0.47857,10.01182,0.01162
50,0.50000,0.48811,10.01230,0.01210
51,0.51000,0.49764,10.01279,0.01258
52,0.52000,0.50717,10.01329,0.01307
53,0.53000,0.51668,10.01381,0.01356
54,0.54000,0.52619,10.01433,0.01407
55,0.55000,0.53568,10.01486,0.01459
56,0.56000,0.54517,10.01540,0.01511
57,0.57000,0.55466,10.01595,0.01565
58,0.58000,0.56413,10.01651,0.01619
59,0.59000,0.57359,10.01708,0.01675
60,0.60000,0.58305,10.01766,0.01731
61,0.61000,0.59250,10.01824,0.01788
62,0.62000,0.60194,10.01884,0.01846
63,0.63000,0.61137,10.01945,0.01904
64,0.64000,0.62079,10.02006,0.01964
65,0.65000,0.63020,10.02069,0.02025
66,0.66000,0.63961,10.02132,0.02086
67,0.67000,0.64901,10.02197,0.02148
68,0.68000,0.65840,10.02262,0.02212
69,0.69000,0.66778,10.02329,0.02276
70,0.70000,0.67716,10.02396,0.02341
71,0.71000,0.68652,10.02464,0.02406
72,0.72000,0.69588,10.02533,0.02473
73,0.73000,0.70523,10.02603,0.02541
74,0.74000,0.71457,10.02674,0.02609
75,0.75000,0.72391,10.02746,0.02678
76,0.76000,0.73323,10.02819,0.02748
77,0.77000,0.74255,10.02893,0.02819
78,0.78000,0.75186,10.02967,0.02891
79,0.79000,0.76117,10.03043,0.02964
80,0.80000,0.77046,10.03120,0.03038
81,0.81000,0.77975,10.03197,0.03112
82,0.82000,0.78903,10.03276,0.03187
83,0.83000,0.79830,10.03355,0.03263
